sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-RH,AirBeam2:D=0018961071,Humidity,percent
Timestamp,geo:lat,geo:long,Value
2018-12-07T09:56:05.095+0000,50.8414991,4.3524183,54
2018-12-07T09:56:05.968+0000,50.8414991,4.3524183,54
2018-12-07T09:56:07.035+0000,50.8414991,4.3524183,53
2018-12-07T09:56:08.059+0000,50.8413533,4.35253673,54
2018-12-07T09:56:09.029+0000,50.8414201,4.35256115,53
2018-12-07T09:56:09.992+0000,50.84146727,4.35256517,53
2018-12-07T09:56:11.019+0000,50.84147289,4.35258807,53
2018-12-07T09:56:12.083+0000,50.84147943,4.35260964,53
2018-12-07T09:56:13.031+0000,50.84147616,4.35258487,53
2018-12-07T09:56:13.977+0000,50.8414776,4.35254762,53
2018-12-07T09:56:15.032+0000,50.84149546,4.352537,53
2018-12-07T09:56:16.017+0000,50.84151095,4.35249047,53
2018-12-07T09:56:17.067+0000,50.84151552,4.35246309,53
2018-12-07T09:56:17.985+0000,50.84153455,4.35243824,53
2018-12-07T09:56:19.053+0000,50.84155624,4.35242519,52
2018-12-07T09:56:20.013+0000,50.84155608,4.3524028,53
2018-12-07T09:56:21.037+0000,50.84156583,4.35239424,53
2018-12-07T09:56:22.055+0000,50.84158126,4.35238679,53
2018-12-07T09:56:23.042+0000,50.84158247,4.35237918,53
2018-12-07T09:56:24.079+0000,50.84158623,4.35236807,53
2018-12-07T09:56:25.083+0000,50.84159141,4.35235278,52
2018-12-07T09:56:25.998+0000,50.84159735,4.35233822,53
2018-12-07T09:56:27.000+0000,50.84160243,4.35232561,52
2018-12-07T09:56:28.012+0000,50.84160793,4.35231483,52
2018-12-07T09:56:29.010+0000,50.84161428,4.35230288,53
2018-12-07T09:56:30.156+0000,50.84161946,4.35229115,53
2018-12-07T09:56:31.022+0000,50.84162164,4.35227939,52
2018-12-07T09:56:32.035+0000,50.84162153,4.35227069,53
2018-12-07T09:56:33.028+0000,50.84162202,4.35226176,53
2018-12-07T09:56:34.041+0000,50.84162382,4.3522466,53
2018-12-07T09:56:35.010+0000,50.84162392,4.35222707,53
2018-12-07T09:56:36.007+0000,50.84162055,4.35220566,52
2018-12-07T09:56:36.995+0000,50.84161591,4.35218382,53
2018-12-07T09:56:38.002+0000,50.84161058,4.35215949,53
2018-12-07T09:56:39.007+0000,50.84160491,4.35213783,54
2018-12-07T09:56:39.968+0000,50.84159813,4.3521197,53
2018-12-07T09:56:41.053+0000,50.84159135,4.3520987,53
2018-12-07T09:56:42.045+0000,50.84158549,4.35208161,53
2018-12-07T09:56:42.987+0000,50.84157818,4.35206064,53
2018-12-07T09:56:44.086+0000,50.84157214,4.35203801,54
2018-12-07T09:56:45.002+0000,50.84156683,4.35201885,54
2018-12-07T09:56:46.035+0000,50.84156153,4.35200279,54
2018-12-07T09:56:46.985+0000,50.84155446,4.3519826,53
2018-12-07T09:56:48.055+0000,50.84154675,4.35196293,54
2018-12-07T09:56:48.991+0000,50.84154038,4.35194771,54
2018-12-07T09:56:50.035+0000,50.8415271,4.35193466,53
2018-12-07T09:56:51.034+0000,50.84152477,4.35192662,54
2018-12-07T09:56:52.022+0000,50.84153005,4.35191359,54
2018-12-07T09:56:52.993+0000,50.84153662,4.35191216,54
2018-12-07T09:56:53.994+0000,50.8415428,4.35191382,54
2018-12-07T09:56:55.007+0000,50.84154979,4.35191692,54
2018-12-07T09:56:55.974+0000,50.84155821,4.35192893,55
2018-12-07T09:56:57.059+0000,50.84156339,4.35194177,55
2018-12-07T09:56:58.032+0000,50.8415685,4.35195282,55
2018-12-07T09:56:59.025+0000,50.84157788,4.35196147,55
