sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM1,AirBeam2:D=0018961071,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-12-07T09:56:04.127+0000,50.8413753,4.352524,1
2018-12-07T09:56:05.096+0000,50.8414991,4.3524183,1
2018-12-07T09:56:06.045+0000,50.8414991,4.3524183,1
2018-12-07T09:56:07.110+0000,50.8414991,4.3524183,1
2018-12-07T09:56:08.060+0000,50.8413533,4.35253673,1
2018-12-07T09:56:09.107+0000,50.8414201,4.35256115,1
2018-12-07T09:56:10.031+0000,50.84146727,4.35256517,1
2018-12-07T09:56:11.083+0000,50.84147289,4.35258807,1
2018-12-07T09:56:12.085+0000,50.84147943,4.35260964,1
2018-12-07T09:56:13.097+0000,50.84147616,4.35258487,0
2018-12-07T09:56:14.081+0000,50.8414776,4.35254762,0
2018-12-07T09:56:15.110+0000,50.84149546,4.352537,0
2018-12-07T09:56:16.086+0000,50.84151095,4.35249047,0
2018-12-07T09:56:17.126+0000,50.84151552,4.35246309,0
2018-12-07T09:56:18.069+0000,50.84153455,4.35243824,0
2018-12-07T09:56:19.054+0000,50.84155624,4.35242519,0
2018-12-07T09:56:20.093+0000,50.84155608,4.3524028,0
2018-12-07T09:56:21.100+0000,50.84156583,4.35239424,0
2018-12-07T09:56:22.115+0000,50.84158126,4.35238679,0
2018-12-07T09:56:23.074+0000,50.84158247,4.35237918,0
2018-12-07T09:56:24.081+0000,50.84158623,4.35236807,0
2018-12-07T09:56:25.085+0000,50.84159141,4.35235278,0
2018-12-07T09:56:26.063+0000,50.84159735,4.35233822,0
2018-12-07T09:56:27.075+0000,50.84160243,4.35232561,0
2018-12-07T09:56:28.083+0000,50.84160793,4.35231483,0
2018-12-07T09:56:29.126+0000,50.84161428,4.35230288,0
2018-12-07T09:56:30.157+0000,50.84161946,4.35229115,0
2018-12-07T09:56:31.068+0000,50.84162164,4.35227939,0
2018-12-07T09:56:32.139+0000,50.84162153,4.35227069,0
2018-12-07T09:56:33.113+0000,50.84162202,4.35226176,0
2018-12-07T09:56:34.043+0000,50.84162382,4.3522466,0
2018-12-07T09:56:35.079+0000,50.84162392,4.35222707,0
2018-12-07T09:56:36.094+0000,50.84162055,4.35220566,0
2018-12-07T09:56:37.107+0000,50.84161591,4.35218382,0
2018-12-07T09:56:38.063+0000,50.84161058,4.35215949,0
2018-12-07T09:56:39.045+0000,50.84160491,4.35213783,0
2018-12-07T09:56:40.098+0000,50.84159813,4.3521197,0
2018-12-07T09:56:41.054+0000,50.84159135,4.3520987,0
2018-12-07T09:56:42.109+0000,50.84158549,4.35208161,0
2018-12-07T09:56:43.068+0000,50.84157818,4.35206064,0
2018-12-07T09:56:44.087+0000,50.84157214,4.35203801,0
2018-12-07T09:56:45.083+0000,50.84156683,4.35201885,0
2018-12-07T09:56:46.094+0000,50.84156153,4.35200279,0
2018-12-07T09:56:47.024+0000,50.84155446,4.3519826,0
2018-12-07T09:56:48.056+0000,50.84154675,4.35196293,0
2018-12-07T09:56:49.025+0000,50.84154038,4.35194771,0
2018-12-07T09:56:50.134+0000,50.8415271,4.35193466,0
2018-12-07T09:56:51.098+0000,50.84152477,4.35192662,0
2018-12-07T09:56:52.084+0000,50.84153005,4.35191359,0
2018-12-07T09:56:53.064+0000,50.84153662,4.35191216,0
2018-12-07T09:56:54.040+0000,50.8415428,4.35191382,0
2018-12-07T09:56:55.098+0000,50.84154979,4.35191692,1
2018-12-07T09:56:56.155+0000,50.84155821,4.35192893,1
2018-12-07T09:56:57.061+0000,50.84156339,4.35194177,1
2018-12-07T09:56:58.071+0000,50.8415685,4.35195282,1
2018-12-07T09:56:59.090+0000,50.84157788,4.35196147,1
2018-12-07T09:57:00.078+0000,50.84158739,4.35197178,1
2018-12-07T09:57:01.079+0000,50.84159759,4.35198305,1
2018-12-07T09:57:02.070+0000,50.8416061,4.35199187,1
2018-12-07T09:57:03.086+0000,50.84161279,4.35199742,1
2018-12-07T09:57:04.113+0000,50.84162132,4.35200157,1
2018-12-07T09:57:05.082+0000,50.84163241,4.35200393,1
