sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM2.5,AirBeam2:D=0018961071,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-12-07T09:56:04.128+0000,50.8413753,4.352524,3
2018-12-07T09:56:05.145+0000,50.8414991,4.3524183,3
2018-12-07T09:56:06.164+0000,50.8414991,4.3524183,3
2018-12-07T09:56:07.152+0000,50.8414991,4.3524183,3
2018-12-07T09:56:08.138+0000,50.8413533,4.35253673,3
2018-12-07T09:56:09.150+0000,50.8414201,4.35256115,3
2018-12-07T09:56:10.105+0000,50.84146727,4.35256517,3
2018-12-07T09:56:11.147+0000,50.84147289,4.35258807,2
2018-12-07T09:56:12.148+0000,50.84147943,4.35260964,2
2018-12-07T09:56:13.141+0000,50.84147616,4.35258487,2
2018-12-07T09:56:14.083+0000,50.8414776,4.35254762,2
2018-12-07T09:56:15.164+0000,50.84149546,4.352537,2
2018-12-07T09:56:16.140+0000,50.84151095,4.35249047,2
2018-12-07T09:56:17.133+0000,50.84151552,4.35246309,2
2018-12-07T09:56:18.111+0000,50.84153455,4.35243824,2
2018-12-07T09:56:19.131+0000,50.84155624,4.35242519,2
2018-12-07T09:56:20.141+0000,50.84155608,4.3524028,2
2018-12-07T09:56:21.148+0000,50.84156583,4.35239424,1
2018-12-07T09:56:22.116+0000,50.84158126,4.35238679,1
2018-12-07T09:56:23.142+0000,50.84158247,4.35237918,1
2018-12-07T09:56:24.150+0000,50.84158623,4.35236807,1
2018-12-07T09:56:25.129+0000,50.84159141,4.35235278,1
2018-12-07T09:56:26.131+0000,50.84159735,4.35233822,1
2018-12-07T09:56:27.137+0000,50.84160243,4.35232561,1
2018-12-07T09:56:28.154+0000,50.84160793,4.35231483,1
2018-12-07T09:56:29.127+0000,50.84161428,4.35230288,1
2018-12-07T09:56:30.159+0000,50.84161946,4.35229115,1
2018-12-07T09:56:31.119+0000,50.84162164,4.35227939,1
2018-12-07T09:56:32.140+0000,50.84162153,4.35227069,1
2018-12-07T09:56:33.115+0000,50.84162202,4.35226176,1
2018-12-07T09:56:34.129+0000,50.84162382,4.3522466,2
2018-12-07T09:56:35.166+0000,50.84162392,4.35222707,2
2018-12-07T09:56:36.141+0000,50.84162055,4.35220566,2
2018-12-07T09:56:37.147+0000,50.84161591,4.35218382,2
2018-12-07T09:56:38.131+0000,50.84161058,4.35215949,2
2018-12-07T09:56:39.143+0000,50.84160491,4.35213783,2
2018-12-07T09:56:40.168+0000,50.84159813,4.3521197,2
2018-12-07T09:56:41.116+0000,50.84159135,4.3520987,2
2018-12-07T09:56:42.145+0000,50.84158549,4.35208161,2
2018-12-07T09:56:43.135+0000,50.84157818,4.35206064,2
2018-12-07T09:56:44.158+0000,50.84157214,4.35203801,2
2018-12-07T09:56:45.150+0000,50.84156683,4.35201885,2
2018-12-07T09:56:46.158+0000,50.84156153,4.35200279,2
2018-12-07T09:56:47.108+0000,50.84155446,4.3519826,2
2018-12-07T09:56:48.091+0000,50.84154675,4.35196293,1
2018-12-07T09:56:49.136+0000,50.84154038,4.35194771,1
2018-12-07T09:56:50.135+0000,50.8415271,4.35193466,1
2018-12-07T09:56:51.146+0000,50.84152477,4.35192662,1
2018-12-07T09:56:52.111+0000,50.84153005,4.35191359,1
2018-12-07T09:56:53.099+0000,50.84153662,4.35191216,1
2018-12-07T09:56:54.136+0000,50.8415428,4.35191382,2
2018-12-07T09:56:55.151+0000,50.84154979,4.35191692,3
2018-12-07T09:56:56.157+0000,50.84155821,4.35192893,3
2018-12-07T09:56:57.126+0000,50.84156339,4.35194177,2
2018-12-07T09:56:58.139+0000,50.8415685,4.35195282,2
2018-12-07T09:56:59.150+0000,50.84157788,4.35196147,2
2018-12-07T09:57:00.101+0000,50.84158739,4.35197178,2
2018-12-07T09:57:01.149+0000,50.84159759,4.35198305,2
2018-12-07T09:57:02.103+0000,50.8416061,4.35199187,2
2018-12-07T09:57:03.156+0000,50.84161279,4.35199742,2
2018-12-07T09:57:04.128+0000,50.84162132,4.35200157,2
2018-12-07T09:57:05.150+0000,50.84163241,4.35200393,2
2018-12-07T09:57:06.115+0000,50.84164124,4.35200366,2
2018-12-07T09:57:07.154+0000,50.841653,4.35200539,2
2018-12-07T09:57:08.140+0000,50.84166711,4.35201087,3
2018-12-07T09:57:09.132+0000,50.84167523,4.35201595,2
2018-12-07T09:57:10.120+0000,50.84168272,4.35201695,3
2018-12-07T09:57:11.145+0000,50.84168946,4.35201428,3
