sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-F,AirBeam2:D=0018961071,Temperature,degrees Fahrenheit
Timestamp,geo:lat,geo:long,Value
2018-12-07T09:56:05.000+0000,50.8414991,4.3524183,83
2018-12-07T09:56:05.932+0000,50.8414991,4.3524183,82
2018-12-07T09:56:06.970+0000,50.8414991,4.3524183,81
2018-12-07T09:56:07.992+0000,50.8413533,4.35253673,82
2018-12-07T09:56:08.978+0000,50.8414201,4.35256115,83
2018-12-07T09:56:09.956+0000,50.84146727,4.35256517,81
2018-12-07T09:56:10.953+0000,50.84147289,4.35258807,82
2018-12-07T09:56:12.020+0000,50.84147943,4.35260964,81
2018-12-07T09:56:13.030+0000,50.84147616,4.35258487,82
2018-12-07T09:56:13.945+0000,50.8414776,4.35254762,82
2018-12-07T09:56:14.974+0000,50.84149546,4.352537,82
2018-12-07T09:56:15.973+0000,50.84151095,4.35249047,82
2018-12-07T09:56:17.066+0000,50.84151552,4.35246309,82
2018-12-07T09:56:17.984+0000,50.84153455,4.35243824,81
2018-12-07T09:56:18.931+0000,50.84155624,4.35242519,81
2018-12-07T09:56:20.011+0000,50.84155608,4.3524028,82
2018-12-07T09:56:20.983+0000,50.84156583,4.35239424,82
2018-12-07T09:56:21.988+0000,50.84158126,4.35238679,82
2018-12-07T09:56:22.959+0000,50.84158247,4.35237918,82
2018-12-07T09:56:23.986+0000,50.84158623,4.35236807,81
2018-12-07T09:56:25.013+0000,50.84159141,4.35235278,81
2018-12-07T09:56:25.997+0000,50.84159735,4.35233822,82
2018-12-07T09:56:26.932+0000,50.84160243,4.35232561,82
2018-12-07T09:56:27.941+0000,50.84160793,4.35231483,81
2018-12-07T09:56:28.964+0000,50.84161428,4.35230288,81
2018-12-07T09:56:29.996+0000,50.84161946,4.35229115,81
2018-12-07T09:56:30.953+0000,50.84162164,4.35227939,81
2018-12-07T09:56:31.964+0000,50.84162153,4.35227069,82
2018-12-07T09:56:32.992+0000,50.84162202,4.35226176,81
2018-12-07T09:56:34.038+0000,50.84162382,4.3522466,82
2018-12-07T09:56:34.932+0000,50.84162392,4.35222707,81
2018-12-07T09:56:35.951+0000,50.84162055,4.35220566,81
2018-12-07T09:56:36.956+0000,50.84161591,4.35218382,81
2018-12-07T09:56:37.938+0000,50.84161058,4.35215949,81
2018-12-07T09:56:38.940+0000,50.84160491,4.35213783,81
2018-12-07T09:56:39.950+0000,50.84159813,4.3521197,81
2018-12-07T09:56:41.010+0000,50.84159135,4.3520987,81
2018-12-07T09:56:42.043+0000,50.84158549,4.35208161,82
2018-12-07T09:56:42.922+0000,50.84157818,4.35206064,81
2018-12-07T09:56:43.984+0000,50.84157214,4.35203801,81
2018-12-07T09:56:45.000+0000,50.84156683,4.35201885,81
2018-12-07T09:56:46.033+0000,50.84156153,4.35200279,81
2018-12-07T09:56:46.947+0000,50.84155446,4.3519826,81
2018-12-07T09:56:47.938+0000,50.84154675,4.35196293,82
2018-12-07T09:56:48.927+0000,50.84154038,4.35194771,80
2018-12-07T09:56:49.986+0000,50.8415271,4.35193466,80
2018-12-07T09:56:51.033+0000,50.84152477,4.35192662,81
2018-12-07T09:56:51.976+0000,50.84153005,4.35191359,80
2018-12-07T09:56:52.957+0000,50.84153662,4.35191216,80
2018-12-07T09:56:53.941+0000,50.8415428,4.35191382,80
2018-12-07T09:56:55.006+0000,50.84154979,4.35191692,80
2018-12-07T09:56:55.972+0000,50.84155821,4.35192893,81
2018-12-07T09:56:57.058+0000,50.84156339,4.35194177,79
2018-12-07T09:56:57.973+0000,50.8415685,4.35195282,80
2018-12-07T09:56:58.964+0000,50.84157788,4.35196147,81
2018-12-07T09:56:59.966+0000,50.84158739,4.35197178,81
2018-12-07T09:57:00.972+0000,50.84159759,4.35198305,81
2018-12-07T09:57:01.926+0000,50.8416061,4.35199187,80
2018-12-07T09:57:02.994+0000,50.84161279,4.35199742,80
2018-12-07T09:57:04.044+0000,50.84162132,4.35200157,81
