sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-RH,AirBeam2:00189610714D,Humidity,percent
Timestamp,geo:lat,geo:long,Value
2018-09-20T10:00:05.773+0100,50.86650507,4.3091029,69
2018-09-20T10:00:06.892+0100,50.86650507,4.3091029,68
2018-09-20T10:00:07.822+0100,50.86654835,4.3093415,69
2018-09-20T10:00:08.779+0100,50.86652453,4.3093276,68
2018-09-20T10:00:09.750+0100,50.86650781,4.30931201,69
2018-09-20T10:00:10.895+0100,50.86649432,4.30929695,68
2018-09-20T10:00:11.905+0100,50.86648459,4.30929488,69
2018-09-20T10:00:12.830+0100,50.86647446,4.3092897,69
2018-09-20T10:00:13.764+0100,50.86647779,4.30926195,69
2018-09-20T10:00:14.765+0100,50.86647737,4.30925426,69
2018-09-20T10:00:15.810+0100,50.86647785,4.30924521,68
2018-09-20T10:00:16.800+0100,50.86647861,4.30923759,69
2018-09-20T10:00:17.927+0100,50.86648286,4.30922439,69
2018-09-20T10:00:18.808+0100,50.86648397,4.3092166,68
2018-09-20T10:00:19.924+0100,50.86648001,4.30921588,69
2018-09-20T10:00:20.797+0100,50.86647065,4.30921359,68
2018-09-20T10:00:21.786+0100,50.86645809,4.30920784,69
2018-09-20T10:00:22.810+0100,50.8664476,4.3091973,68
2018-09-20T10:00:23.790+0100,50.8664433,4.30918274,68
2018-09-20T10:00:24.777+0100,50.8664466,4.30917008,68
2018-09-20T10:00:25.823+0100,50.86645482,4.30916487,68
2018-09-20T10:00:26.909+0100,50.86646898,4.30916118,68
2018-09-20T10:00:27.810+0100,50.86647786,4.30916036,68
2018-09-20T10:00:28.800+0100,50.86648568,4.30915359,68
2018-09-20T10:00:29.763+0100,50.86649112,4.30913484,68
2018-09-20T10:00:30.807+0100,50.86649429,4.30912603,68
2018-09-20T10:00:31.773+0100,50.86649803,4.30912053,69
2018-09-20T10:00:32.834+0100,50.86649935,4.30912,68
2018-09-20T10:00:33.825+0100,50.86650515,4.30911814,68
2018-09-20T10:00:34.837+0100,50.86650631,4.30911901,68
2018-09-20T10:00:35.807+0100,50.86650694,4.30911728,68
2018-09-20T10:00:36.855+0100,50.86650371,4.30911603,69
2018-09-20T10:00:37.860+0100,50.86650569,4.30911361,68
2018-09-20T10:00:38.897+0100,50.86650855,4.30911511,68
2018-09-20T10:00:39.849+0100,50.86650831,4.30911036,68
2018-09-20T10:00:40.793+0100,50.86650358,4.30910224,68
2018-09-20T10:00:41.774+0100,50.8664983,4.30909833,68
2018-09-20T10:00:42.773+0100,50.86649337,4.30909557,68
2018-09-20T10:00:43.799+0100,50.86649342,4.30909426,68
2018-09-20T10:00:44.911+0100,50.8664948,4.3090905,69
2018-09-20T10:00:45.833+0100,50.86649595,4.30908754,68
2018-09-20T10:00:46.869+0100,50.86649633,4.30908654,69
2018-09-20T10:00:47.818+0100,50.86649685,4.30908739,69
2018-09-20T10:00:48.899+0100,50.86649678,4.30908976,69
2018-09-20T10:00:49.814+0100,50.86649765,4.30909049,69
2018-09-20T10:00:50.791+0100,50.86649749,4.30909057,69
2018-09-20T10:00:51.778+0100,50.86649601,4.30908954,69
2018-09-20T10:00:52.767+0100,50.86649386,4.30908844,68
2018-09-20T10:00:53.845+0100,50.86649408,4.30908638,69
2018-09-20T10:00:54.967+0100,50.86649249,4.30908451,69
2018-09-20T10:00:55.856+0100,50.86649129,4.30908456,69
2018-09-20T10:00:56.785+0100,50.86649144,4.3090841,69
2018-09-20T10:00:57.817+0100,50.86649209,4.30908317,69
2018-09-20T10:00:58.832+0100,50.86649226,4.30908303,69
2018-09-20T10:00:59.788+0100,50.86649243,4.30908291,69
2018-09-20T10:01:00.818+0100,50.86649251,4.30908288,69
2018-09-20T10:01:01.908+0100,50.86649335,4.30908346,69
2018-09-20T10:01:02.805+0100,50.86649356,4.30908359,69
2018-09-20T10:01:03.801+0100,50.86649363,4.30908364,69
2018-09-20T10:01:04.818+0100,50.86649363,4.30908361,70
2018-09-20T10:01:05.757+0100,50.86649364,4.30908364,69
2018-09-20T10:01:06.795+0100,50.86649354,4.30908853,70
2018-09-20T10:01:07.810+0100,50.86649664,4.30909389,70
2018-09-20T10:01:08.792+0100,50.86649863,4.30909303,70
2018-09-20T10:01:09.808+0100,50.86649804,4.30909469,69
2018-09-20T10:01:10.851+0100,50.8664955,4.30909369,69
2018-09-20T10:01:11.779+0100,50.86649413,4.30909377,69
2018-09-20T10:01:12.783+0100,50.86649287,4.30909714,69
2018-09-20T10:01:13.807+0100,50.86648816,4.30909846,69
2018-09-20T10:01:14.779+0100,50.86648945,4.30910037,69
2018-09-20T10:01:15.823+0100,50.86648966,4.3091028,69
2018-09-20T10:01:16.896+0100,50.86649403,4.30911569,69
2018-09-20T10:01:17.815+0100,50.86650645,4.3091202,69
2018-09-20T10:01:18.807+0100,50.86651254,4.3091221,69
2018-09-20T10:01:19.796+0100,50.86651564,4.30912067,69
2018-09-20T10:01:20.754+0100,50.86651938,4.30912177,69
2018-09-20T10:01:21.813+0100,50.86651955,4.30912225,69
2018-09-20T10:01:22.780+0100,50.86652146,4.30912493,68
2018-09-20T10:01:23.778+0100,50.86651894,4.30912853,68
2018-09-20T10:01:24.835+0100,50.86651119,4.30912427,68
2018-09-20T10:01:25.826+0100,50.86650755,4.30911344,69
2018-09-20T10:01:26.782+0100,50.86650784,4.30911189,69
2018-09-20T10:01:27.789+0100,50.86650727,4.30911211,69
2018-09-20T10:01:28.781+0100,50.86650725,4.30910532,69
2018-09-20T10:01:29.786+0100,50.86650688,4.30910411,68
2018-09-20T10:01:30.813+0100,50.86650682,4.30910392,68
2018-09-20T10:01:31.866+0100,50.86650585,4.30910447,68
2018-09-20T10:01:32.766+0100,50.86650397,4.30910563,68
2018-09-20T10:01:33.829+0100,50.86650409,4.30910592,68
2018-09-20T10:01:34.766+0100,50.86650526,4.30910797,68
2018-09-20T10:01:35.780+0100,50.86650556,4.30910494,68
2018-09-20T10:01:36.859+0100,50.86650679,4.30910341,69
2018-09-20T10:01:37.770+0100,50.86650757,4.30910326,69
2018-09-20T10:01:38.829+0100,50.86650723,4.30910363,68
2018-09-20T10:01:39.770+0100,50.8665076,4.30910579,69
2018-09-20T10:01:40.796+0100,50.86650718,4.30910673,69
2018-09-20T10:01:41.888+0100,50.86650748,4.30910753,68
2018-09-20T10:01:42.793+0100,50.8665068,4.30911074,68
2018-09-20T10:01:43.825+0100,50.86651024,4.30913193,69
2018-09-20T10:01:44.787+0100,50.86650318,4.30913311,69
2018-09-20T10:01:45.821+0100,50.86650175,4.30912783,68
2018-09-20T10:01:46.747+0100,50.8664957,4.30912291,68
2018-09-20T10:01:47.770+0100,50.8664992,4.30911796,69
2018-09-20T10:01:48.765+0100,50.86650018,4.30912242,69
2018-09-20T10:01:49.754+0100,50.8665013,4.30912311,69
2018-09-20T10:01:50.760+0100,50.86650302,4.30912818,69
2018-09-20T10:01:51.777+0100,50.86650697,4.30913453,69
2018-09-20T10:01:52.801+0100,50.86650868,4.3091313,69
2018-09-20T10:01:53.782+0100,50.86650878,4.3091288,69
2018-09-20T10:01:54.759+0100,50.86650879,4.30912741,69
2018-09-20T10:01:55.778+0100,50.8665088,4.30912673,69
2018-09-20T10:01:56.816+0100,50.86650893,4.30912546,68
2018-09-20T10:01:57.754+0100,50.86650976,4.30912394,68
2018-09-20T10:01:58.780+0100,50.86651068,4.30913258,68
2018-09-20T10:01:59.779+0100,50.86651078,4.30914194,69
2018-09-20T10:02:00.793+0100,50.86651622,4.30915329,69
2018-09-20T10:02:01.836+0100,50.86651905,4.30915603,68
2018-09-20T10:02:02.754+0100,50.86652813,4.30914476,69
2018-09-20T10:02:03.903+0100,50.8665406,4.30912424,68
2018-09-20T10:02:04.818+0100,50.86656204,4.30910472,68
2018-09-20T10:02:05.821+0100,50.86658166,4.30908499,68
2018-09-20T10:02:06.838+0100,50.86659683,4.30907161,68
2018-09-20T10:02:07.797+0100,50.86660567,4.30906213,69
2018-09-20T10:02:08.817+0100,50.86661713,4.30905785,69
2018-09-20T10:02:09.813+0100,50.86662908,4.30905135,68
2018-09-20T10:02:10.842+0100,50.8666429,4.30904179,68
2018-09-20T10:02:11.789+0100,50.86665528,4.30903307,68
2018-09-20T10:02:12.809+0100,50.86666682,4.30902337,68
2018-09-20T10:02:13.772+0100,50.86667719,4.30901177,68
2018-09-20T10:02:14.775+0100,50.86668445,4.30900327,68
2018-09-20T10:02:15.777+0100,50.86668874,4.30899498,68
2018-09-20T10:02:16.810+0100,50.86669376,4.30898548,68
2018-09-20T10:02:17.848+0100,50.86669842,4.30897524,68
2018-09-20T10:02:18.746+0100,50.86670242,4.30895866,68
2018-09-20T10:02:19.768+0100,50.8667071,4.30893942,68
2018-09-20T10:02:20.826+0100,50.86671183,4.30891905,68
2018-09-20T10:02:21.779+0100,50.86671588,4.30889893,68
2018-09-20T10:02:22.789+0100,50.86671831,4.30887925,68
2018-09-20T10:02:23.839+0100,50.86672001,4.30886205,69
2018-09-20T10:02:24.815+0100,50.86671939,4.30885366,68
2018-09-20T10:02:25.815+0100,50.86671568,4.30884695,68
2018-09-20T10:02:26.823+0100,50.8667151,4.30884318,69
2018-09-20T10:02:27.799+0100,50.86671698,4.30883301,68
2018-09-20T10:02:28.808+0100,50.86671903,4.30882088,69
2018-09-20T10:02:29.802+0100,50.86672258,4.3088081,68
2018-09-20T10:02:30.812+0100,50.86672397,4.30878389,68
2018-09-20T10:02:31.784+0100,50.86672583,4.30876063,68
2018-09-20T10:02:32.766+0100,50.86672669,4.30874661,68
2018-09-20T10:02:33.865+0100,50.86672095,4.30873237,69
2018-09-20T10:02:34.867+0100,50.86671815,4.30872499,68
2018-09-20T10:02:35.819+0100,50.86671397,4.30871661,69
2018-09-20T10:02:36.824+0100,50.86671762,4.30870389,68
2018-09-20T10:02:37.820+0100,50.86672437,4.30868981,68
