sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM10,AirBeam2:00189610714D,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-09-20T10:00:05.913+0100,50.86650507,4.3091029,11
2018-09-20T10:00:06.923+0100,50.86650507,4.3091029,10
2018-09-20T10:00:07.951+0100,50.86654835,4.3093415,10
2018-09-20T10:00:08.965+0100,50.86652453,4.3093276,10
2018-09-20T10:00:09.922+0100,50.86650781,4.30931201,10
2018-09-20T10:00:10.944+0100,50.86649432,4.30929695,10
2018-09-20T10:00:11.956+0100,50.86648459,4.30929488,10
2018-09-20T10:00:13.011+0100,50.86647446,4.3092897,10
2018-09-20T10:00:13.930+0100,50.86647779,4.30926195,10
2018-09-20T10:00:14.930+0100,50.86647737,4.30925426,10
2018-09-20T10:00:15.944+0100,50.86647785,4.30924521,10
2018-09-20T10:00:16.943+0100,50.86647861,4.30923759,10
2018-09-20T10:00:17.957+0100,50.86648286,4.30922439,10
2018-09-20T10:00:18.932+0100,50.86648397,4.3092166,10
2018-09-20T10:00:19.960+0100,50.86648001,4.30921588,10
2018-09-20T10:00:20.943+0100,50.86647065,4.30921359,10
2018-09-20T10:00:21.967+0100,50.86645809,4.30920784,11
2018-09-20T10:00:22.964+0100,50.8664476,4.3091973,10
2018-09-20T10:00:23.943+0100,50.8664433,4.30918274,10
2018-09-20T10:00:24.948+0100,50.8664466,4.30917008,10
2018-09-20T10:00:25.950+0100,50.86645482,4.30916487,10
2018-09-20T10:00:26.950+0100,50.86646898,4.30916118,10
2018-09-20T10:00:27.923+0100,50.86647786,4.30916036,9
2018-09-20T10:00:28.920+0100,50.86648568,4.30915359,9
2018-09-20T10:00:29.928+0100,50.86649112,4.30913484,9
2018-09-20T10:00:30.967+0100,50.86649429,4.30912603,9
2018-09-20T10:00:31.937+0100,50.86649803,4.30912053,9
2018-09-20T10:00:32.937+0100,50.86649935,4.30912,9
2018-09-20T10:00:33.931+0100,50.86650515,4.30911814,9
2018-09-20T10:00:34.915+0100,50.86650631,4.30911901,9
2018-09-20T10:00:35.932+0100,50.86650694,4.30911728,10
2018-09-20T10:00:36.950+0100,50.86650371,4.30911603,10
2018-09-20T10:00:37.978+0100,50.86650569,4.30911361,10
2018-09-20T10:00:38.920+0100,50.86650855,4.30911511,10
2018-09-20T10:00:39.953+0100,50.86650831,4.30911036,10
2018-09-20T10:00:40.909+0100,50.86650358,4.30910224,10
2018-09-20T10:00:41.950+0100,50.8664983,4.30909833,10
2018-09-20T10:00:42.948+0100,50.86649337,4.30909557,10
2018-09-20T10:00:43.948+0100,50.86649342,4.30909426,10
2018-09-20T10:00:44.951+0100,50.8664948,4.3090905,10
