sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM2.5,AirBeam2:00189610714D,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-09-20T10:00:05.906+0100,50.86650507,4.3091029,9
2018-09-20T10:00:06.910+0100,50.86650507,4.3091029,8
2018-09-20T10:00:07.919+0100,50.86654835,4.3093415,8
2018-09-20T10:00:08.965+0100,50.86652453,4.3093276,8
2018-09-20T10:00:09.896+0100,50.86650781,4.30931201,7
2018-09-20T10:00:10.943+0100,50.86649432,4.30929695,7
2018-09-20T10:00:11.956+0100,50.86648459,4.30929488,7
2018-09-20T10:00:13.011+0100,50.86647446,4.3092897,7
2018-09-20T10:00:13.901+0100,50.86647779,4.30926195,7
2018-09-20T10:00:14.890+0100,50.86647737,4.30925426,7
2018-09-20T10:00:15.905+0100,50.86647785,4.30924521,7
2018-09-20T10:00:16.941+0100,50.86647861,4.30923759,7
2018-09-20T10:00:17.929+0100,50.86648286,4.30922439,6
2018-09-20T10:00:18.930+0100,50.86648397,4.3092166,6
2018-09-20T10:00:19.959+0100,50.86648001,4.30921588,6
2018-09-20T10:00:20.942+0100,50.86647065,4.30921359,6
2018-09-20T10:00:21.965+0100,50.86645809,4.30920784,7
2018-09-20T10:00:22.951+0100,50.8664476,4.3091973,8
2018-09-20T10:00:23.922+0100,50.8664433,4.30918274,8
2018-09-20T10:00:24.922+0100,50.8664466,4.30917008,8
2018-09-20T10:00:25.914+0100,50.86645482,4.30916487,8
2018-09-20T10:00:26.949+0100,50.86646898,4.30916118,8
2018-09-20T10:00:27.922+0100,50.86647786,4.30916036,7
2018-09-20T10:00:28.910+0100,50.86648568,4.30915359,7
2018-09-20T10:00:29.919+0100,50.86649112,4.30913484,7
2018-09-20T10:00:30.966+0100,50.86649429,4.30912603,7
2018-09-20T10:00:31.910+0100,50.86649803,4.30912053,7
2018-09-20T10:00:32.914+0100,50.86649935,4.30912,7
2018-09-20T10:00:33.899+0100,50.86650515,4.30911814,7
2018-09-20T10:00:34.888+0100,50.86650631,4.30911901,7
2018-09-20T10:00:35.931+0100,50.86650694,4.30911728,7
2018-09-20T10:00:36.899+0100,50.86650371,4.30911603,7
2018-09-20T10:00:37.967+0100,50.86650569,4.30911361,7
2018-09-20T10:00:38.909+0100,50.86650855,4.30911511,8
2018-09-20T10:00:39.927+0100,50.86650831,4.30911036,8
2018-09-20T10:00:40.908+0100,50.86650358,4.30910224,8
2018-09-20T10:00:41.913+0100,50.8664983,4.30909833,8
2018-09-20T10:00:42.931+0100,50.86649337,4.30909557,8
2018-09-20T10:00:43.947+0100,50.86649342,4.30909426,9
2018-09-20T10:00:44.950+0100,50.8664948,4.3090905,9
2018-09-20T10:00:45.953+0100,50.86649595,4.30908754,9
2018-09-20T10:00:46.955+0100,50.86649633,4.30908654,9
2018-09-20T10:00:47.918+0100,50.86649685,4.30908739,9
2018-09-20T10:00:48.946+0100,50.86649678,4.30908976,7
2018-09-20T10:00:49.958+0100,50.86649765,4.30909049,7
2018-09-20T10:00:50.933+0100,50.86649749,4.30909057,7
2018-09-20T10:00:51.915+0100,50.86649601,4.30908954,7
2018-09-20T10:00:52.945+0100,50.86649386,4.30908844,7
2018-09-20T10:00:53.921+0100,50.86649408,4.30908638,6
2018-09-20T10:00:55.120+0100,50.86649129,4.30908456,6
