sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-F,AirBeam2:00189610714D,Temperature,degrees Fahrenheit
Timestamp,geo:lat,geo:long,Value
2018-09-20T10:00:05.709+0100,50.86650507,4.3091029,75
2018-09-20T10:00:06.773+0100,50.86650507,4.3091029,75
2018-09-20T10:00:07.821+0100,50.86654835,4.3093415,75
2018-09-20T10:00:08.721+0100,50.86652453,4.3093276,75
2018-09-20T10:00:09.721+0100,50.86650781,4.30931201,75
2018-09-20T10:00:10.894+0100,50.86649432,4.30929695,75
2018-09-20T10:00:11.749+0100,50.86648459,4.30929488,75
2018-09-20T10:00:12.747+0100,50.86647446,4.3092897,75
2018-09-20T10:00:13.764+0100,50.86647779,4.30926195,76
2018-09-20T10:00:14.765+0100,50.86647737,4.30925426,75
2018-09-20T10:00:15.720+0100,50.86647785,4.30924521,75
2018-09-20T10:00:16.798+0100,50.86647861,4.30923759,76
2018-09-20T10:00:17.821+0100,50.86648286,4.30922439,75
2018-09-20T10:00:18.739+0100,50.86648397,4.3092166,75
2018-09-20T10:00:19.763+0100,50.86648001,4.30921588,75
2018-09-20T10:00:20.725+0100,50.86647065,4.30921359,75
2018-09-20T10:00:21.721+0100,50.86645809,4.30920784,75
2018-09-20T10:00:22.741+0100,50.8664476,4.3091973,75
2018-09-20T10:00:23.790+0100,50.8664433,4.30918274,75
2018-09-20T10:00:24.742+0100,50.8664466,4.30917008,76
2018-09-20T10:00:25.822+0100,50.86645482,4.30916487,75
2018-09-20T10:00:26.807+0100,50.86646898,4.30916118,75
2018-09-20T10:00:27.741+0100,50.86647786,4.30916036,75
2018-09-20T10:00:28.799+0100,50.86648568,4.30915359,75
2018-09-20T10:00:29.763+0100,50.86649112,4.30913484,76
2018-09-20T10:00:30.738+0100,50.86649429,4.30912603,76
2018-09-20T10:00:31.771+0100,50.86649803,4.30912053,75
2018-09-20T10:00:32.758+0100,50.86649935,4.30912,76
2018-09-20T10:00:33.764+0100,50.86650515,4.30911814,75
2018-09-20T10:00:34.754+0100,50.86650631,4.30911901,75
2018-09-20T10:00:35.736+0100,50.86650694,4.30911728,76
2018-09-20T10:00:36.776+0100,50.86650371,4.30911603,76
2018-09-20T10:00:37.767+0100,50.86650569,4.30911361,76
2018-09-20T10:00:38.780+0100,50.86650855,4.30911511,76
2018-09-20T10:00:39.848+0100,50.86650831,4.30911036,76
2018-09-20T10:00:40.712+0100,50.86650358,4.30910224,76
2018-09-20T10:00:41.718+0100,50.8664983,4.30909833,75
2018-09-20T10:00:42.773+0100,50.86649337,4.30909557,75
2018-09-20T10:00:43.744+0100,50.86649342,4.30909426,76
2018-09-20T10:00:44.749+0100,50.8664948,4.3090905,75
2018-09-20T10:00:45.764+0100,50.86649595,4.30908754,76
2018-09-20T10:00:46.752+0100,50.86649633,4.30908654,76
2018-09-20T10:00:47.731+0100,50.86649685,4.30908739,75
2018-09-20T10:00:48.898+0100,50.86649678,4.30908976,75
2018-09-20T10:00:49.746+0100,50.86649765,4.30909049,76
2018-09-20T10:00:50.741+0100,50.86649749,4.30909057,75
2018-09-20T10:00:51.777+0100,50.86649601,4.30908954,75
2018-09-20T10:00:52.766+0100,50.86649386,4.30908844,76
2018-09-20T10:00:53.755+0100,50.86649408,4.30908638,75
