,Device,geo:long,geo:lat,Perception,Timestamp
50,Device 1,4.3525707,50.841249,1.0,2018-12-07 08:02:21
51,Device 1,4.3522394,50.8410848,1.0,2018-12-07 08:41:59
52,Device 1,4.3527057000000005,50.8414602,4.0,2018-12-07 09:47:08
53,Device 1,4.352723999999999,50.841472100000004,5.0,2018-12-07 09:48:01
54,Device 1,4.3527529000000005,50.8414908,4.0,2018-12-07 09:48:22
55,Device 1,4.3527537,50.841491299999994,2.0,2018-12-07 09:50:45
56,Device 1,4.3527537,50.841491299999994,4.0,2018-12-07 09:51:13
57,Device 1,4.3525372,50.8412474,5.0,2018-12-07 09:51:41
58,Device 1,4.3525356,50.841248,4.0,2018-12-07 09:52:04
59,Device 1,4.3510819000000005,50.8420325,5.0,2018-12-07 09:59:12
60,Device 1,4.3510819000000005,50.8420325,5.0,2018-12-07 09:59:29
61,Device 1,4.3510819000000005,50.8420325,4.0,2018-12-07 10:00:03
62,Device 1,4.3510819000000005,50.8420325,2.0,2018-12-07 10:00:24
63,Device 1,4.351596,50.841804700000004,5.0,2018-12-07 10:02:38
64,Device 1,4.3536105,50.8414578,4.0,2018-12-07 10:04:39
65,Device 1,4.3537007,50.8415,4.0,2018-12-07 10:05:16
66,Device 1,4.3537007,50.8415,5.0,2018-12-07 10:05:23
67,Device 1,4.3537007,50.8415,5.0,2018-12-07 10:05:39
68,Device 1,4.3537007,50.8415,4.0,2018-12-07 10:06:20
69,Device 1,4.3538051,50.8415071,5.0,2018-12-07 10:06:59
70,Device 1,4.356215,50.8396748,4.0,2018-12-07 10:12:38
71,Device 1,4.356215,50.8396748,5.0,2018-12-07 10:12:59
72,Device 1,4.356215,50.8396748,2.0,2018-12-07 10:13:27
73,Device 1,4.3562647000000005,50.8397403,4.0,2018-12-07 10:14:59
74,Device 1,4.3538255999999995,50.839304600000006,4.0,2018-12-07 10:19:22
75,Device 1,4.3538255999999995,50.839304600000006,5.0,2018-12-07 10:19:32
76,Device 1,4.3538255999999995,50.839304600000006,4.0,2018-12-07 10:19:54
77,Device 1,4.3538255999999995,50.839304600000006,5.0,2018-12-07 10:20:05
78,Device 1,4.3538255999999995,50.839304600000006,5.0,2018-12-07 10:20:11
79,Device 1,4.3538255999999995,50.839304600000006,4.0,2018-12-07 10:20:45
80,Device 1,4.3538044000000005,50.8393331,5.0,2018-12-07 10:21:17
81,Device 1,4.3538287,50.839312899999996,4.0,2018-12-07 10:21:34
82,Device 1,4.3546977,50.840167,4.0,2018-12-07 10:24:35
83,Device 1,4.3546977,50.840167,5.0,2018-12-07 10:24:43
84,Device 1,4.3546977,50.840167,5.0,2018-12-07 10:25:01
85,Device 1,4.3548931,50.84024,5.0,2018-12-07 10:25:17
86,Device 1,4.3549689,50.8402563,4.0,2018-12-07 10:26:09
87,Device 1,4.3550829,50.840270399999994,5.0,2018-12-07 10:26:43
88,Device 1,4.3550997,50.8402709,4.0,2018-12-07 10:26:51
89,Device 1,4.354024400000001,50.8409532,4.0,2018-12-07 10:30:20
90,Device 1,4.354024400000001,50.8409532,5.0,2018-12-07 10:30:26
91,Device 1,4.3537509000000005,50.840927,4.0,2018-12-07 10:31:45
92,Device 1,4.3536851,50.840956,5.0,2018-12-07 10:32:34
93,Device 1,4.351584099999999,50.841279899999996,1.0,2018-12-07 10:37:21
94,Device 1,4.351839599999999,50.8409387,1.0,2018-12-07 10:40:03
95,Device 1,4.3517652,50.841198399999996,1.0,2018-12-07 10:40:39
96,Device 1,4.3517652,50.841198399999996,2.0,2018-12-07 10:40:53
279,Device 3,4.3525812,50.841262799999996,1.0,2018-12-07 07:56:12
280,Device 3,4.3525812,50.841262799999996,1.0,2018-12-07 07:56:24
281,Device 3,4.3520293,50.8409978,1.0,2018-12-07 08:27:34
282,Device 3,4.3524317,50.841046399999996,1.0,2018-12-07 09:38:10
283,Device 3,4.3524317,50.841046399999996,4.0,2018-12-07 09:47:07
284,Device 3,4.3524317,50.841046399999996,5.0,2018-12-07 09:47:27
285,Device 3,4.3524317,50.841046399999996,5.0,2018-12-07 09:49:30
286,Device 3,4.3524317,50.841046399999996,5.0,2018-12-07 09:50:27
287,Device 3,4.3524317,50.841046399999996,2.0,2018-12-07 09:50:44
288,Device 3,4.3524317,50.841046399999996,4.0,2018-12-07 09:50:50
289,Device 3,4.3524317,50.841046399999996,4.0,2018-12-07 09:51:13
290,Device 3,4.3524317,50.841046399999996,5.0,2018-12-07 09:51:43
291,Device 3,4.3524317,50.841046399999996,4.0,2018-12-07 09:53:38
292,Device 3,4.3524317,50.841046399999996,5.0,2018-12-07 09:55:50
293,Device 3,4.351984799999999,50.8414709,5.0,2018-12-07 09:57:05
294,Device 3,4.3510504999999995,50.842120200000004,4.0,2018-12-07 09:59:00
295,Device 3,4.3510611,50.8421321,4.0,2018-12-07 09:59:35
296,Device 3,4.351064599999999,50.8421377,1.0,2018-12-07 10:00:16
297,Device 3,4.351068499999999,50.8421395,5.0,2018-12-07 10:00:54
298,Device 3,4.3537721,50.841441100000004,4.0,2018-12-07 10:06:25
299,Device 3,4.3537722,50.841441100000004,4.0,2018-12-07 10:06:54
300,Device 3,4.3562552000000005,50.8397051,5.0,2018-12-07 10:12:41
301,Device 3,4.356315400000001,50.839672799999995,1.0,2018-12-07 10:13:31
302,Device 3,4.3563583,50.839653399999996,4.0,2018-12-07 10:13:59
303,Device 3,4.3537359,50.8393217,2.0,2018-12-07 10:20:52
304,Device 3,4.3538234000000005,50.8393659,5.0,2018-12-07 10:21:07
305,Device 3,4.3548898000000005,50.8402545,5.0,2018-12-07 10:24:27
306,Device 3,4.3548949,50.8402573,4.0,2018-12-07 10:24:51
307,Device 3,4.3549633000000005,50.840303799999994,4.0,2018-12-07 10:26:10
308,Device 3,4.354977900000001,50.840330200000004,5.0,2018-12-07 10:26:39
309,Device 3,4.355004,50.840332200000006,5.0,2018-12-07 10:26:49
310,Device 3,4.3550358000000005,50.8403656,4.0,2018-12-07 10:27:21
311,Device 3,4.3537929,50.8409939,2.0,2018-12-07 10:30:33
312,Device 3,4.353772,50.8410007,5.0,2018-12-07 10:30:50
313,Device 3,4.352510400000001,50.8413181,4.0,2018-12-07 10:34:38
314,Device 3,4.35216,50.8409778,2.0,2018-12-07 10:40:19
401,Device 9,4.3524462,50.8409696,4.0,2018-12-07 09:48:43
402,Device 9,4.3517163,50.8412029,5.0,2018-12-07 09:50:26
403,Device 9,4.3517163,50.8412029,4.0,2018-12-07 09:50:51
404,Device 9,4.3525544,50.8412667,4.0,2018-12-07 09:51:21
405,Device 9,4.352525599999999,50.8412644,5.0,2018-12-07 09:51:29
406,Device 9,4.3525510999999995,50.84127,4.0,2018-12-07 09:51:46
407,Device 9,4.3525092,50.8412783,5.0,2018-12-07 09:51:53
408,Device 9,4.352510700000001,50.8412623,4.0,2018-12-07 09:52:13
409,Device 9,4.352510700000001,50.8412623,5.0,2018-12-07 09:52:41
410,Device 9,4.352510700000001,50.8412623,4.0,2018-12-07 09:53:10
411,Device 9,4.352510700000001,50.8412623,5.0,2018-12-07 09:53:17
412,Device 9,4.352510700000001,50.8412623,2.0,2018-12-07 09:55:38
413,Device 9,4.3519497000000005,50.8415016,5.0,2018-12-07 09:56:57
414,Device 9,4.3510290000000005,50.842107399999996,5.0,2018-12-07 09:58:57
415,Device 9,4.3510275,50.8421115,5.0,2018-12-07 09:59:03
416,Device 9,4.351026,50.8421158,5.0,2018-12-07 09:59:34
417,Device 9,4.3510651,50.8420992,2.0,2018-12-07 10:00:17
418,Device 9,4.3510805,50.842132,5.0,2018-12-07 10:00:49
419,Device 9,4.3510897,50.8421242,4.0,2018-12-07 10:01:25
420,Device 9,4.3513282,50.841885999999995,4.0,2018-12-07 10:02:18
421,Device 9,4.3537242,50.841430200000005,5.0,2018-12-07 10:05:18
422,Device 9,4.353796400000001,50.841438399999994,1.0,2018-12-07 10:06:02
423,Device 9,4.353814099999999,50.8414252,1.0,2018-12-07 10:06:18
424,Device 9,4.353833,50.841423299999995,5.0,2018-12-07 10:06:30
425,Device 9,4.3538532,50.841427,5.0,2018-12-07 10:06:48
426,Device 9,4.3538540999999995,50.8414342,5.0,2018-12-07 10:06:58
427,Device 9,4.3538763,50.841433,5.0,2018-12-07 10:07:18
428,Device 9,4.353846599999999,50.841417,4.0,2018-12-07 10:07:41
429,Device 9,4.3561678,50.8396858,4.0,2018-12-07 10:11:48
430,Device 9,4.356318900000001,50.8396651,4.0,2018-12-07 10:12:25
431,Device 9,4.356318900000001,50.8396651,5.0,2018-12-07 10:12:32
432,Device 9,4.3563317999999995,50.8396665,5.0,2018-12-07 10:13:06
433,Device 9,4.3563696,50.8396551,5.0,2018-12-07 10:13:52
434,Device 9,4.356353299999999,50.839676399999995,5.0,2018-12-07 10:14:14
435,Device 9,4.3563682,50.839675899999996,5.0,2018-12-07 10:14:45
436,Device 9,4.3560555,50.8396607,4.0,2018-12-07 10:15:16
437,Device 9,4.353804900000001,50.839316600000004,4.0,2018-12-07 10:19:11
438,Device 9,4.3537795,50.8393375,5.0,2018-12-07 10:19:31
439,Device 9,4.353749099999999,50.8393745,2.0,2018-12-07 10:20:49
440,Device 9,4.353747900000001,50.8393793,5.0,2018-12-07 10:21:12
441,Device 9,4.3550589,50.8403896,5.0,2018-12-07 10:24:18
442,Device 9,4.355068900000001,50.840387799999995,5.0,2018-12-07 10:24:30
443,Device 9,4.3550821,50.8403871,5.0,2018-12-07 10:25:30
444,Device 9,4.355116000000001,50.840425,5.0,2018-12-07 10:26:08
445,Device 9,4.3551489000000005,50.840408700000005,5.0,2018-12-07 10:26:37
446,Device 9,4.355162,50.840410399999996,5.0,2018-12-07 10:26:46
447,Device 9,4.353907700000001,50.8410097,5.0,2018-12-07 10:30:01
448,Device 9,4.3537927000000005,50.8410456,5.0,2018-12-07 10:30:24
449,Device 9,4.3537336,50.8410575,5.0,2018-12-07 10:30:47
450,Device 9,4.3536518,50.841052399999995,5.0,2018-12-07 10:31:46
451,Device 9,4.3519807,50.8412274,2.0,2018-12-07 10:45:32
543,Device 16,4.3525269,50.84126079999999,5.0,2018-12-07 09:51:44
544,Device 16,4.3525367,50.8412503,4.0,2018-12-07 09:52:51
545,Device 16,4.352665200000001,50.8413092,2.0,2018-12-07 09:55:40
546,Device 16,4.352665200000001,50.8413092,2.0,2018-12-07 10:00:21
547,Device 16,4.3511899000000005,50.8422677,5.0,2018-12-07 10:00:58
548,Device 16,4.351203099999999,50.8423372,2.0,2018-12-07 10:06:24
549,Device 16,4.351203099999999,50.8423372,2.0,2018-12-07 10:06:34
550,Device 16,4.351203099999999,50.8423372,4.0,2018-12-07 10:06:45
551,Device 16,4.351203099999999,50.8423372,5.0,2018-12-07 10:07:09
552,Device 16,4.3561413,50.8395717,5.0,2018-12-07 10:13:23
553,Device 16,4.3561413,50.8395717,2.0,2018-12-07 10:13:34
554,Device 16,4.3561413,50.8395717,5.0,2018-12-07 10:13:52
555,Device 16,4.3558843000000005,50.8396411,1.0,2018-12-07 10:20:47
556,Device 16,4.3537383,50.8394109,4.0,2018-12-07 10:21:34
557,Device 16,4.3538475,50.839420600000004,4.0,2018-12-07 10:26:09
558,Device 16,4.3556745999999995,50.840814,4.0,2018-12-07 10:27:00
559,Device 16,4.3556745999999995,50.840814,5.0,2018-12-07 10:27:11
560,Device 16,4.3536741999999995,50.8410116,5.0,2018-12-07 10:31:20
561,Device 16,4.353701,50.8410401,4.0,2018-12-07 10:31:56
562,Device 16,4.3526041,50.84130510000001,2.0,2018-12-07 10:45:28
563,Device 16,4.3526041,50.84130510000001,4.0,2018-12-07 10:47:03
564,Device 20,4.3525833,50.84124620000001,2.0,2018-12-07 07:54:45
565,Device 20,4.3525913,50.8412463,2.0,2018-12-07 08:11:08
566,Device 20,4.3525913,50.8412463,2.0,2018-12-07 08:19:10
567,Device 20,4.3525913,50.8412463,2.0,2018-12-07 08:23:45
568,Device 20,4.3525913,50.8412463,2.0,2018-12-07 08:25:03
569,Device 20,4.3525913,50.8412463,2.0,2018-12-07 08:28:20
570,Device 20,4.352596599999999,50.841254299999996,2.0,2018-12-07 08:33:23
571,Device 20,4.3525884,50.8412616,2.0,2018-12-07 08:53:01
572,Device 18,4.352067900000001,50.8410315,4.0,2018-12-07 09:49:57
573,Device 18,4.352067900000001,50.8410315,2.0,2018-12-07 09:50:45
574,Device 18,4.352067900000001,50.8410315,4.0,2018-12-07 09:50:51
575,Device 18,4.3525483,50.8412286,4.0,2018-12-07 09:51:09
576,Device 18,4.3525398,50.841258700000004,5.0,2018-12-07 09:51:44
577,Device 18,4.3525364,50.8412368,5.0,2018-12-07 09:52:25
578,Device 18,4.352032599999999,50.8413919,4.0,2018-12-07 09:52:44
579,Device 18,4.3524794,50.8413123,1.0,2018-12-07 09:55:37
580,Device 18,4.351041599999999,50.842119,5.0,2018-12-07 09:59:44
581,Device 18,4.351041599999999,50.842119,2.0,2018-12-07 10:00:26
582,Device 18,4.3510246,50.842142200000005,5.0,2018-12-07 10:01:02
583,Device 18,4.3512001,50.842071600000004,4.0,2018-12-07 10:01:58
584,Device 18,4.3538277,50.84153370000001,4.0,2018-12-07 10:06:22
585,Device 18,4.353836,50.841531700000004,5.0,2018-12-07 10:06:57
586,Device 18,4.354753700000001,50.840937700000005,4.0,2018-12-07 10:09:03
587,Device 18,4.3562437,50.8397084,4.0,2018-12-07 10:13:30
588,Device 18,4.3562505,50.8396996,5.0,2018-12-07 10:13:59
589,Device 18,4.3537756,50.8393474,4.0,2018-12-07 10:20:13
590,Device 18,4.3538217,50.839385,5.0,2018-12-07 10:21:18
591,Device 18,4.3538288,50.8393914,5.0,2018-12-07 10:21:39
592,Device 18,4.3551286,50.840359899999996,5.0,2018-12-07 10:26:48
593,Device 18,4.3539566,50.840926200000006,4.0,2018-12-07 10:29:51
594,Device 18,4.353956299999999,50.8409263,4.0,2018-12-07 10:30:02
595,Device 18,4.353956299999999,50.8409263,4.0,2018-12-07 10:30:20
596,Device 18,4.3538464999999995,50.840976,5.0,2018-12-07 10:31:20
597,Device 18,4.3537852,50.8409846,5.0,2018-12-07 10:31:54
598,Device 18,4.3525711,50.8412817,5.0,2018-12-07 10:36:04
671,Device 22,4.3525102,50.8410219,5.0,2018-12-07 09:50:26
672,Device 22,4.3525102,50.8410219,4.0,2018-12-07 09:50:51
673,Device 22,4.3525397,50.8412674,5.0,2018-12-07 09:51:43
674,Device 22,4.3525373,50.841247499999994,5.0,2018-12-07 09:53:17
675,Device 22,4.3525373,50.841247499999994,5.0,2018-12-07 09:53:30
676,Device 22,4.3525373,50.841247499999994,5.0,2018-12-07 09:53:41
677,Device 22,4.3526315,50.8413453,2.0,2018-12-07 09:55:40
678,Device 22,4.3510155,50.8421561,5.0,2018-12-07 09:59:00
679,Device 22,4.351015900000001,50.84215579999999,4.0,2018-12-07 09:59:11
680,Device 22,4.351015900000001,50.84215579999999,4.0,2018-12-07 09:59:18
681,Device 22,4.351054799999999,50.8421566,2.0,2018-12-07 10:00:21
682,Device 22,4.351054799999999,50.8421566,5.0,2018-12-07 10:00:59
683,Device 22,4.3537974,50.841537,5.0,2018-12-07 10:06:23
684,Device 22,4.353784200000001,50.8415385,5.0,2018-12-07 10:06:55
685,Device 22,4.3564101,50.8397505,5.0,2018-12-07 10:14:17
686,Device 22,4.3537417000000005,50.839361600000004,4.0,2018-12-07 10:20:09
687,Device 22,4.3537417000000005,50.839361600000004,2.0,2018-12-07 10:20:49
688,Device 22,4.3538042,50.8394115,5.0,2018-12-07 10:21:20
689,Device 22,4.3548412,50.8403279,5.0,2018-12-07 10:24:30
690,Device 22,4.354875,50.8403861,4.0,2018-12-07 10:26:09
691,Device 22,4.3549432,50.840441399999996,5.0,2018-12-07 10:26:48
692,Device 22,4.3525722,50.841268299999996,5.0,2018-12-07 10:35:45
693,Device 23,4.3525895,50.8412631,5.0,2018-12-07 09:46:06
694,Device 23,4.3525895,50.8412631,4.0,2018-12-07 09:47:07
695,Device 23,4.3525895,50.8412631,4.0,2018-12-07 09:49:11
696,Device 23,4.3525895,50.8412631,4.0,2018-12-07 09:50:00
697,Device 23,4.3525895,50.8412631,4.0,2018-12-07 09:50:51
698,Device 23,4.351183,50.8422965,2.0,2018-12-07 10:00:30
699,Device 23,4.3538537,50.8414562,4.0,2018-12-07 10:06:29
700,Device 23,4.3539375,50.841561600000006,5.0,2018-12-07 10:06:54
701,Device 23,4.3537418,50.8412762,4.0,2018-12-07 10:08:07
702,Device 23,4.356013900000001,50.839636799999994,2.0,2018-12-07 10:13:23
703,Device 23,4.356013900000001,50.839636799999994,2.0,2018-12-07 10:13:30
704,Device 23,4.3562928,50.839913700000004,5.0,2018-12-07 10:13:55
705,Device 23,4.3562026,50.839845700000005,5.0,2018-12-07 10:14:13
706,Device 23,4.3537702000000005,50.8394214,4.0,2018-12-07 10:20:17
707,Device 23,4.3537586,50.839371,4.0,2018-12-07 10:21:12
708,Device 23,4.3537207,50.839317799999996,5.0,2018-12-07 10:21:18
709,Device 23,4.3537261,50.839321500000004,5.0,2018-12-07 10:21:41
710,Device 23,4.3537300000000005,50.841111299999994,4.0,2018-12-07 10:31:00
711,Device 23,4.3537013,50.841081700000004,4.0,2018-12-07 10:31:16
