Device,geo:long,geo:lat,Perception,Timestamp
Device 1,4.308605,50.8660761,1,2018-09-20 8:47:25
Device 1,4.308605,50.8660761,1,2018-09-20 8:48:38
Device 1,4.3086429,50.8660664,5,2018-09-20 8:54:50
Device 1,4.3086429,50.8660664,5,2018-09-20 8:55:08
Device 1,4.3086429,50.8660664,5,2018-09-20 8:55:59
Device 1,4.3086429,50.8660664,5,2018-09-20 8:56:34
Device 1,4.3086429,50.8660664,5,2018-09-20 8:56:59
Device 1,4.3086429,50.8660664,4,2018-09-20 8:57:27
Device 1,4.3086429,50.8660664,5,2018-09-20 8:58:52
Device 1,4.3086429,50.8660664,5,2018-09-20 8:59:08
Device 1,4.3086429,50.8660664,4,2018-09-20 8:59:57
Device 1,4.3086429,50.8660664,5,2018-09-20 9:01:16
Device 1,4.3086429,50.8660664,5,2018-09-20 9:01:37
Device 1,4.3086429,50.8660664,5,2018-09-20 9:01:55
Device 1,4.3090105,50.8667042,5,2018-09-20 9:02:07
Device 1,4.3090105,50.8667042,4,2018-09-20 9:02:15
Device 1,4.3090105,50.8667042,4,2018-09-20 9:04:28
Device 1,4.3090105,50.8667042,5,2018-09-20 9:04:48
Device 1,4.3071205,50.866791,4,2018-09-20 9:05:27
Device 1,4.3071205,50.866791,5,2018-09-20 9:05:36
Device 1,4.3071205,50.866791,2,2018-09-20 9:07:49
Device 1,4.3071205,50.866791,2,2018-09-20 9:08:07
Device 1,4.3071205,50.866791,4,2018-09-20 9:08:25
Device 1,4.3049679,50.8666204,4,2018-09-20 9:09:47
Device 1,4.3049679,50.8666204,5,2018-09-20 9:09:57
Device 1,4.3049679,50.8666204,4,2018-09-20 9:10:08
Device 1,4.3049679,50.8666204,5,2018-09-20 9:10:49
Device 1,4.3049679,50.8666204,1,2018-09-20 9:11:12
Device 1,4.3051239,50.8659225,5,2018-09-20 9:11:37
Device 1,4.3049066,50.8659393,4,2018-09-20 9:12:02
Device 1,4.3049057,50.8659395,4,2018-09-20 9:12:38
Device 1,4.3049057,50.8659395,5,2018-09-20 9:12:51
Device 1,4.3049057,50.8659395,4,2018-09-20 9:13:08
Device 1,4.3049057,50.8659395,4,2018-09-20 9:14:26
Device 1,4.3049057,50.8659395,1,2018-09-20 9:16:49
Device 1,4.3049057,50.8659395,1,2018-09-20 9:17:02
Device 1,4.3049057,50.8659395,5,2018-09-20 9:17:20
Device 1,4.3061231,50.865011,4,2018-09-20 9:18:16
Device 1,4.3064777,50.8647543,4,2018-09-20 9:18:46
Device 1,4.3083131,50.8649753,5,2018-09-20 9:21:17
Device 1,4.308328,50.8649642,5,2018-09-20 9:21:48
Device 1,4.308328,50.8649642,5,2018-09-20 9:22:07
Device 1,4.3104547,50.8656034,4,2018-09-20 9:25:22
Device 1,4.3104532,50.8656277,5,2018-09-20 9:25:34
Device 1,4.3104489,50.8655817,5,2018-09-20 9:26:02
Device 1,4.3104691,50.8655882,5,2018-09-20 9:26:12
Device 1,4.309272,50.8666198,5,2018-09-20 9:28:20
Device 1,4.3091484,50.866524,5,2018-09-20 9:28:51
Device 1,4.3090364,50.8664342,5,2018-09-20 9:29:03
Device 1,4.3089021,50.8662901,5,2018-09-20 9:29:18
,,,,
Device 1,4.3525707,50.841249,1,2018-12-07 8:02:21
Device 1,4.3522394,50.8410848,1,2018-12-07 8:41:59
Device 1,4.3527057,50.8414602,4,2018-12-07 9:47:08
Device 1,4.352724,50.8414721,5,2018-12-07 9:48:01
Device 1,4.3527529,50.8414908,4,2018-12-07 9:48:22
Device 1,4.3527537,50.8414913,2,2018-12-07 9:50:45
Device 1,4.3527537,50.8414913,4,2018-12-07 9:51:13
Device 1,4.3525372,50.8412474,5,2018-12-07 9:51:41
Device 1,4.3525356,50.841248,4,2018-12-07 9:52:04
Device 1,4.3510819,50.8420325,5,2018-12-07 9:59:12
Device 1,4.3510819,50.8420325,5,2018-12-07 9:59:29
Device 1,4.3510819,50.8420325,4,2018-12-07 10:00:03
Device 1,4.3510819,50.8420325,2,2018-12-07 10:00:24
Device 1,4.351596,50.8418047,5,2018-12-07 10:02:38
Device 1,4.3536105,50.8414578,4,2018-12-07 10:04:39
Device 1,4.3537007,50.8415,4,2018-12-07 10:05:16
Device 1,4.3537007,50.8415,5,2018-12-07 10:05:23
Device 1,4.3537007,50.8415,5,2018-12-07 10:05:39
Device 1,4.3537007,50.8415,4,2018-12-07 10:06:20
Device 1,4.3538051,50.8415071,5,2018-12-07 10:06:59
Device 1,4.356215,50.8396748,4,2018-12-07 10:12:38
Device 1,4.356215,50.8396748,5,2018-12-07 10:12:59
Device 1,4.356215,50.8396748,2,2018-12-07 10:13:27
Device 1,4.3562647,50.8397403,4,2018-12-07 10:14:59
Device 1,4.3538256,50.8393046,4,2018-12-07 10:19:22
