,Device,geo:long,geo:lat,Perception,Timestamp
97,Device 3,-2.1184537999999997,53.2516088,5.0,2018-06-09 15:08:47
98,Device 3,-2.1191731,53.251614399999994,5.0,2018-06-09 15:10:25
99,Device 3,-2.1195202,53.2519024,5.0,2018-06-09 15:11:07
100,Device 3,-2.11965,53.2518951,4.0,2018-06-09 15:11:20
101,Device 3,-2.1210236,53.250206000000006,5.0,2018-06-09 15:22:05
102,Device 3,-2.1184586,53.250892500000006,4.0,2018-06-09 15:27:24
103,Device 3,-2.1167115,53.2517637,2.0,2018-06-09 15:30:56
104,Device 3,-2.1169782,53.2521221,2.0,2018-06-09 15:32:31
105,Device 3,-2.1184222000000004,53.2515687,4.0,2018-06-09 15:36:02
106,Device 3,-2.1184232000000005,53.2516488,4.0,2018-06-09 15:36:34
163,Device 4,-2.1184735,53.251761,5.0,2018-06-09 15:08:46
164,Device 4,-2.1197944,53.251917000000006,4.0,2018-06-09 15:11:21
165,Device 4,-2.1198057999999995,53.2519191,5.0,2018-06-09 15:11:48
166,Device 4,-2.1198049,53.251919799999996,4.0,2018-06-09 15:11:58
167,Device 4,-2.1198072999999997,53.251920999999996,5.0,2018-06-09 15:12:09
168,Device 4,-2.1197998,53.2519229,4.0,2018-06-09 15:12:18
169,Device 4,-2.1211097000000003,53.2523619,4.0,2018-06-09 15:15:32
170,Device 4,-2.1211856,53.2524179,4.0,2018-06-09 15:15:40
171,Device 4,-2.1211988999999996,53.252432400000004,4.0,2018-06-09 15:15:51
172,Device 4,-2.1213129,53.25124739999999,5.0,2018-06-09 15:19:19
173,Device 4,-2.1213245,53.251225600000005,4.0,2018-06-09 15:19:54
174,Device 4,-2.1210942000000004,53.25022020000001,5.0,2018-06-09 15:21:56
175,Device 4,-2.1210823,53.2502184,5.0,2018-06-09 15:22:24
176,Device 4,-2.1195777000000002,53.2498228,5.0,2018-06-09 15:24:59
177,Device 4,-2.1195002,53.24982779999999,5.0,2018-06-09 15:25:24
178,Device 4,-2.1184907,53.2507302,5.0,2018-06-09 15:27:21
179,Device 4,-2.1184746,53.250753700000004,5.0,2018-06-09 15:27:55
180,Device 4,-2.1166497000000004,53.251691599999994,2.0,2018-06-09 15:30:53
181,Device 4,-2.1166708,53.2517041,4.0,2018-06-09 15:31:18
182,Device 4,-2.1169901,53.252125899999996,1.0,2018-06-09 15:32:31
183,Device 4,-2.1174560000000002,53.2516819,4.0,2018-06-09 15:34:59
184,Device 4,-2.1184571,53.25127239999999,1.0,2018-06-09 15:40:21
315,Device 8,-2.11841707,53.25129274,5.0,2018-06-09 15:08:48
316,Device 8,-2.11841707,53.25129274,4.0,2018-06-09 15:11:25
317,Device 8,-2.11841707,53.25129274,5.0,2018-06-09 15:11:55
