sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-RH,AirBeam2:,Humidity,percent
Timestamp,geo:lat,geo:long,Value
2018-06-09T14:18:18.771+0100,53.2516108,-2.1183465,67
2018-06-09T14:18:20.269+0100,53.2516108,-2.1183465,67
2018-06-09T14:18:21.262+0100,53.25137087,-2.11833742,67
2018-06-09T14:18:21.767+0100,53.25137087,-2.11833742,66
2018-06-09T14:18:23.256+0100,53.25136501,-2.11835551,67
2018-06-09T14:18:23.756+0100,53.25136501,-2.11835551,67
2018-06-09T14:18:24.755+0100,53.25136161,-2.11836698,66
2018-06-09T14:18:26.249+0100,53.25136485,-2.11837157,66
2018-06-09T14:18:26.753+0100,53.25136485,-2.11837157,66
2018-06-09T14:18:28.247+0100,53.25136819,-2.11837349,66
2018-06-09T14:18:29.246+0100,53.25136985,-2.11838126,66
2018-06-09T14:18:30.242+0100,53.25137061,-2.11838482,66
2018-06-09T14:18:30.740+0100,53.25137061,-2.11838482,66
2018-06-09T14:18:32.236+0100,53.25137273,-2.11838643,66
2018-06-09T14:18:32.734+0100,53.25137273,-2.11838643,66
2018-06-09T14:18:34.231+0100,53.25137387,-2.11839619,65
2018-06-09T14:18:34.740+0100,53.25137387,-2.11839619,65
2018-06-09T14:18:36.226+0100,53.25142257,-2.118415,65
2018-06-09T14:18:37.221+0100,53.25144145,-2.11842298,65
2018-06-09T14:18:37.723+0100,53.25144145,-2.11842298,65
2018-06-09T14:18:38.719+0100,53.2514426,-2.11842775,65
2018-06-09T14:18:40.229+0100,53.25144025,-2.11843134,65
2018-06-09T14:18:41.216+0100,53.25145017,-2.11843105,64
2018-06-09T14:18:42.211+0100,53.25145759,-2.11842974,64
2018-06-09T14:18:43.211+0100,53.25146889,-2.11843302,64
2018-06-09T14:18:44.213+0100,53.25148009,-2.1184368,64
2018-06-09T14:18:45.202+0100,53.25148187,-2.11843654,63
2018-06-09T14:18:45.706+0100,53.25148187,-2.11843654,64
2018-06-09T14:18:46.697+0100,53.25148643,-2.11844174,64
2018-06-09T14:18:48.202+0100,53.2514962,-2.11844419,63
