sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM10,AirBeam2:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-06-09T14:18:18.771+0100,53.2516108,-2.1183465,11
2018-06-09T14:18:20.271+0100,53.2516108,-2.1183465,11
2018-06-09T14:18:21.262+0100,53.25137087,-2.11833742,11
2018-06-09T14:18:21.768+0100,53.25137087,-2.11833742,11
2018-06-09T14:18:23.256+0100,53.25136501,-2.11835551,11
2018-06-09T14:18:23.756+0100,53.25136501,-2.11835551,11
2018-06-09T14:18:24.756+0100,53.25136161,-2.11836698,11
2018-06-09T14:18:26.250+0100,53.25136485,-2.11837157,11
2018-06-09T14:18:26.754+0100,53.25136485,-2.11837157,11
2018-06-09T14:18:28.248+0100,53.25136819,-2.11837349,11
2018-06-09T14:18:29.247+0100,53.25136985,-2.11838126,9
2018-06-09T14:18:30.243+0100,53.25137061,-2.11838482,9
2018-06-09T14:18:30.741+0100,53.25137061,-2.11838482,9
2018-06-09T14:18:32.237+0100,53.25137273,-2.11838643,9
2018-06-09T14:18:32.735+0100,53.25137273,-2.11838643,9
2018-06-09T14:18:34.231+0100,53.25137387,-2.11839619,10
2018-06-09T14:18:34.740+0100,53.25137387,-2.11839619,10
2018-06-09T14:18:36.227+0100,53.25142257,-2.118415,10
2018-06-09T14:18:37.222+0100,53.25144145,-2.11842298,10
2018-06-09T14:18:37.724+0100,53.25144145,-2.11842298,10
2018-06-09T14:18:38.719+0100,53.2514426,-2.11842775,12
2018-06-09T14:18:40.230+0100,53.25144025,-2.11843134,12
2018-06-09T14:18:41.217+0100,53.25145017,-2.11843105,12
2018-06-09T14:18:42.213+0100,53.25145759,-2.11842974,13
2018-06-09T14:18:43.212+0100,53.25146889,-2.11843302,13
2018-06-09T14:18:44.215+0100,53.25148009,-2.1184368,11
2018-06-09T14:18:45.203+0100,53.25148187,-2.11843654,11
2018-06-09T14:18:45.707+0100,53.25148187,-2.11843654,11
2018-06-09T14:18:46.697+0100,53.25148643,-2.11844174,12
2018-06-09T14:18:48.205+0100,53.2514962,-2.11844419,12
2018-06-09T14:18:49.203+0100,53.25149676,-2.11844471,12
2018-06-09T14:18:50.196+0100,53.2514986,-2.11844469,14
2018-06-09T14:18:51.193+0100,53.25149792,-2.11844432,14
2018-06-09T14:18:52.192+0100,53.25149695,-2.11844385,15
2018-06-09T14:18:53.191+0100,53.25149747,-2.11844418,15
2018-06-09T14:18:54.184+0100,53.25149785,-2.1184444,14
2018-06-09T14:18:54.680+0100,53.25149785,-2.1184444,18
2018-06-09T14:18:56.182+0100,53.25149786,-2.11844403,18
2018-06-09T14:18:57.182+0100,53.25149787,-2.11844405,18
2018-06-09T14:18:58.172+0100,53.25149788,-2.11844404,18
2018-06-09T14:18:59.174+0100,53.25149795,-2.11844407,18
2018-06-09T14:19:00.163+0100,53.25149793,-2.11844405,18
2018-06-09T14:19:00.666+0100,53.25149793,-2.11844405,18
2018-06-09T14:19:02.664+0100,53.25149802,-2.11844408,18
2018-06-09T14:19:03.658+0100,53.25149799,-2.11844405,16
2018-06-09T14:19:04.656+0100,53.25149794,-2.11844388,16
2018-06-09T14:19:05.649+0100,53.25150361,-2.11842674,15
2018-06-09T14:19:06.144+0100,53.25149618,-2.11841091,15
2018-06-09T14:19:07.652+0100,53.251487,-2.11841407,15
2018-06-09T14:19:08.644+0100,53.2515042,-2.11840705,18
2018-06-09T14:19:09.137+0100,53.2515132,-2.11841211,18
2018-06-09T14:19:10.639+0100,53.25151863,-2.11840215,19
2018-06-09T14:19:11.134+0100,53.25152118,-2.11838932,20
2018-06-09T14:19:12.634+0100,53.25152439,-2.11837876,20
2018-06-09T14:19:13.136+0100,53.25152944,-2.11838648,21
2018-06-09T14:19:14.137+0100,53.25152688,-2.11839644,21
2018-06-09T14:19:15.138+0100,53.25152299,-2.11840369,23
2018-06-09T14:19:16.145+0100,53.25152203,-2.11840407,23
2018-06-09T14:19:17.126+0100,53.25152484,-2.11841072,23
2018-06-09T14:19:18.132+0100,53.25152328,-2.11841477,23
2018-06-09T14:19:19.119+0100,53.25152299,-2.11841781,23
2018-06-09T14:19:20.619+0100,53.25151541,-2.11841201,23
2018-06-09T14:19:21.621+0100,53.25151135,-2.11840517,22
2018-06-09T14:19:22.608+0100,53.25151155,-2.11840453,22
2018-06-09T14:19:23.113+0100,53.25151372,-2.11840311,22
2018-06-09T14:19:24.107+0100,53.25151574,-2.11839835,22
2018-06-09T14:19:25.604+0100,53.25151623,-2.11840318,22
2018-06-09T14:19:26.603+0100,53.25151872,-2.11840849,21
2018-06-09T14:19:27.600+0100,53.25151314,-2.1184101,21
2018-06-09T14:19:28.599+0100,53.25151394,-2.11841442,22
2018-06-09T14:19:29.595+0100,53.25151426,-2.1184192,22
2018-06-09T14:19:30.591+0100,53.25151309,-2.1184208,22
2018-06-09T14:19:31.591+0100,53.25150754,-2.11842329,23
2018-06-09T14:19:32.083+0100,53.25150234,-2.11842619,23
2018-06-09T14:19:33.083+0100,53.2514984,-2.1184307,24
2018-06-09T14:19:34.076+0100,53.25149878,-2.11843445,23
2018-06-09T14:19:35.073+0100,53.25150177,-2.11843921,22
2018-06-09T14:19:36.072+0100,53.25150704,-2.11844393,23
2018-06-09T14:19:37.576+0100,53.25151022,-2.11844775,25
2018-06-09T14:19:38.570+0100,53.25151044,-2.11844803,25
2018-06-09T14:19:39.068+0100,53.25151005,-2.11844803,28
2018-06-09T14:19:40.566+0100,53.25150858,-2.11844613,29
2018-06-09T14:19:41.563+0100,53.25150927,-2.11844978,30
2018-06-09T14:19:42.561+0100,53.25151004,-2.11844941,32
2018-06-09T14:19:43.067+0100,53.25151008,-2.11844932,33
2018-06-09T14:19:44.064+0100,53.25151449,-2.11845138,38
2018-06-09T14:19:45.064+0100,53.25151736,-2.11845588,37
2018-06-09T14:19:46.057+0100,53.25151932,-2.11845561,34
2018-06-09T14:19:47.057+0100,53.25152147,-2.11845518,32
