sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-PM2.5,AirBeam2:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2018-06-09T14:18:18.771+0100,53.2516108,-2.1183465,9
2018-06-09T14:18:20.271+0100,53.2516108,-2.1183465,9
2018-06-09T14:18:21.262+0100,53.25137087,-2.11833742,9
2018-06-09T14:18:21.768+0100,53.25137087,-2.11833742,9
2018-06-09T14:18:23.256+0100,53.25136501,-2.11835551,9
2018-06-09T14:18:23.756+0100,53.25136501,-2.11835551,9
2018-06-09T14:18:24.755+0100,53.25136161,-2.11836698,9
2018-06-09T14:18:26.249+0100,53.25136485,-2.11837157,9
2018-06-09T14:18:26.753+0100,53.25136485,-2.11837157,9
2018-06-09T14:18:28.248+0100,53.25136819,-2.11837349,9
2018-06-09T14:18:29.247+0100,53.25136985,-2.11838126,8
2018-06-09T14:18:30.242+0100,53.25137061,-2.11838482,8
2018-06-09T14:18:30.741+0100,53.25137061,-2.11838482,8
2018-06-09T14:18:32.237+0100,53.25137273,-2.11838643,8
2018-06-09T14:18:32.735+0100,53.25137273,-2.11838643,8
2018-06-09T14:18:34.231+0100,53.25137387,-2.11839619,9
2018-06-09T14:18:34.740+0100,53.25137387,-2.11839619,9
2018-06-09T14:18:36.227+0100,53.25142257,-2.118415,9
2018-06-09T14:18:37.221+0100,53.25144145,-2.11842298,9
2018-06-09T14:18:37.724+0100,53.25144145,-2.11842298,9
2018-06-09T14:18:38.719+0100,53.2514426,-2.11842775,9
2018-06-09T14:18:40.229+0100,53.25144025,-2.11843134,9
2018-06-09T14:18:41.217+0100,53.25145017,-2.11843105,9
2018-06-09T14:18:42.212+0100,53.25145759,-2.11842974,10
2018-06-09T14:18:43.211+0100,53.25146889,-2.11843302,10
2018-06-09T14:18:44.214+0100,53.25148009,-2.1184368,9
2018-06-09T14:18:45.203+0100,53.25148187,-2.11843654,9
2018-06-09T14:18:45.707+0100,53.25148187,-2.11843654,9
2018-06-09T14:18:46.697+0100,53.25148643,-2.11844174,10
2018-06-09T14:18:48.203+0100,53.2514962,-2.11844419,10
2018-06-09T14:18:49.202+0100,53.25149676,-2.11844471,10
2018-06-09T14:18:50.195+0100,53.2514986,-2.11844469,11
2018-06-09T14:18:51.193+0100,53.25149792,-2.11844432,11
2018-06-09T14:18:52.192+0100,53.25149695,-2.11844385,12
2018-06-09T14:18:53.191+0100,53.25149747,-2.11844418,12
2018-06-09T14:18:54.183+0100,53.25149785,-2.1184444,11
2018-06-09T14:18:54.680+0100,53.25149785,-2.1184444,12
2018-06-09T14:18:56.181+0100,53.25149786,-2.11844403,12
2018-06-09T14:18:57.181+0100,53.25149787,-2.11844405,12
2018-06-09T14:18:58.172+0100,53.25149788,-2.11844404,12
2018-06-09T14:18:59.173+0100,53.25149795,-2.11844407,12
2018-06-09T14:19:00.163+0100,53.25149793,-2.11844405,11
2018-06-09T14:19:00.666+0100,53.25149793,-2.11844405,11
2018-06-09T14:19:01.665+0100,53.25149797,-2.11844406,11
2018-06-09T14:19:02.666+0100,53.25149802,-2.11844408,10
2018-06-09T14:19:03.660+0100,53.25149799,-2.11844405,10
2018-06-09T14:19:04.659+0100,53.25149794,-2.11844388,10
2018-06-09T14:19:05.650+0100,53.25150361,-2.11842674,10
2018-06-09T14:19:06.653+0100,53.25149618,-2.11841091,10
2018-06-09T14:19:07.655+0100,53.251487,-2.11841407,12
2018-06-09T14:19:08.646+0100,53.2515042,-2.11840705,12
2018-06-09T14:19:09.649+0100,53.2515132,-2.11841211,13
2018-06-09T14:19:10.641+0100,53.25151863,-2.11840215,14
2018-06-09T14:19:11.643+0100,53.25152118,-2.11838932,14
2018-06-09T14:19:12.637+0100,53.25152439,-2.11837876,14
2018-06-09T14:19:14.137+0100,53.25152688,-2.11839644,14
2018-06-09T14:19:15.138+0100,53.25152299,-2.11840369,15
2018-06-09T14:19:16.145+0100,53.25152203,-2.11840407,15
2018-06-09T14:19:17.125+0100,53.25152484,-2.11841072,15
2018-06-09T14:19:18.132+0100,53.25152328,-2.11841477,15
2018-06-09T14:19:19.119+0100,53.25152299,-2.11841781,15
2018-06-09T14:19:19.622+0100,53.25152299,-2.11841781,15
2018-06-09T14:19:20.622+0100,53.25151541,-2.11841201,16
2018-06-09T14:19:21.626+0100,53.25151135,-2.11840517,16
2018-06-09T14:19:23.112+0100,53.25151372,-2.11840311,16
2018-06-09T14:19:24.107+0100,53.25151574,-2.11839835,16
2018-06-09T14:19:24.611+0100,53.25151574,-2.11839835,16
2018-06-09T14:19:26.601+0100,53.25151872,-2.11840849,16
2018-06-09T14:19:27.599+0100,53.25151314,-2.1184101,16
2018-06-09T14:19:28.599+0100,53.25151394,-2.11841442,16
2018-06-09T14:19:29.594+0100,53.25151426,-2.1184192,16
2018-06-09T14:19:30.590+0100,53.25151309,-2.1184208,16
2018-06-09T14:19:31.586+0100,53.25150754,-2.11842329,16
2018-06-09T14:19:32.083+0100,53.25150234,-2.11842619,16
2018-06-09T14:19:33.082+0100,53.2514984,-2.1184307,17
2018-06-09T14:19:34.075+0100,53.25149878,-2.11843445,17
2018-06-09T14:19:35.073+0100,53.25150177,-2.11843921,16
2018-06-09T14:19:36.072+0100,53.25150704,-2.11844393,17
2018-06-09T14:19:37.575+0100,53.25151022,-2.11844775,19
2018-06-09T14:19:38.568+0100,53.25151044,-2.11844803,19
2018-06-09T14:19:39.068+0100,53.25151005,-2.11844803,21
2018-06-09T14:19:40.565+0100,53.25150858,-2.11844613,22
2018-06-09T14:19:41.562+0100,53.25150927,-2.11844978,23
2018-06-09T14:19:42.560+0100,53.25151004,-2.11844941,23
2018-06-09T14:19:43.066+0100,53.25151008,-2.11844932,24
2018-06-09T14:19:44.063+0100,53.25151449,-2.11845138,25
2018-06-09T14:19:45.064+0100,53.25151736,-2.11845588,25
2018-06-09T14:19:46.056+0100,53.25151932,-2.11845561,24
2018-06-09T14:19:47.056+0100,53.25152147,-2.11845518,23
2018-06-09T14:19:48.062+0100,53.25152445,-2.11845686,23
2018-06-09T14:19:49.044+0100,53.25152524,-2.11845655,23
2018-06-09T14:19:50.543+0100,53.25152551,-2.11845419,21
2018-06-09T14:19:51.537+0100,53.25152503,-2.11845202,22
2018-06-09T14:19:52.036+0100,53.25152376,-2.11845056,20
2018-06-09T14:19:53.532+0100,53.25152343,-2.11845011,19
2018-06-09T14:19:54.033+0100,53.25152376,-2.11844904,19
2018-06-09T14:19:55.032+0100,53.25152498,-2.11844489,19
2018-06-09T14:19:56.029+0100,53.25152577,-2.11844133,19
2018-06-09T14:19:57.022+0100,53.25152667,-2.11844071,19
2018-06-09T14:19:58.520+0100,53.25152798,-2.11844217,18
2018-06-09T14:19:59.020+0100,53.25152818,-2.11844323,18
2018-06-09T14:20:00.022+0100,53.25153033,-2.11844232,17
2018-06-09T14:20:01.011+0100,53.25153272,-2.11844417,17
2018-06-09T14:20:02.514+0100,53.25153364,-2.11844473,17
2018-06-09T14:20:03.516+0100,53.2515346,-2.11844788,15
2018-06-09T14:20:04.508+0100,53.25153326,-2.1184496,15
2018-06-09T14:20:05.508+0100,53.25153163,-2.11845076,14
2018-06-09T14:20:06.501+0100,53.25152955,-2.11845087,14
2018-06-09T14:20:07.499+0100,53.25152759,-2.11845119,14
2018-06-09T14:20:08.005+0100,53.25152567,-2.11845191,14
2018-06-09T14:20:08.997+0100,53.25152418,-2.11845124,14
2018-06-09T14:20:09.994+0100,53.25152415,-2.11845137,14
2018-06-09T14:20:10.986+0100,53.25152364,-2.11845213,12
2018-06-09T14:20:11.985+0100,53.25152295,-2.11845271,12
2018-06-09T14:20:12.980+0100,53.25152244,-2.1184533,11
2018-06-09T14:20:13.982+0100,53.25152205,-2.11845356,11
2018-06-09T14:20:14.992+0100,53.25152217,-2.11845386,11
2018-06-09T14:20:15.978+0100,53.25152236,-2.11845408,12
2018-06-09T14:20:16.971+0100,53.25152246,-2.11845416,13
2018-06-09T14:20:17.968+0100,53.25152256,-2.11845423,14
2018-06-09T14:20:18.966+0100,53.25152273,-2.11845432,14
2018-06-09T14:20:20.462+0100,53.25152288,-2.11845437,14
2018-06-09T14:20:20.960+0100,53.25152313,-2.11845465,13
2018-06-09T14:20:22.457+0100,53.25152332,-2.11845481,13
2018-06-09T14:20:22.955+0100,53.25152343,-2.11845494,13
2018-06-09T14:20:23.953+0100,53.25152355,-2.11845504,12
