sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam2-F,AirBeam2:,Temperature,degrees Fahrenheit
Timestamp,geo:lat,geo:long,Value
2018-06-09T14:18:18.770+0100,53.2516108,-2.1183465,72
2018-06-09T14:18:20.268+0100,53.2516108,-2.1183465,72
2018-06-09T14:18:21.261+0100,53.25137087,-2.11833742,73
2018-06-09T14:18:21.764+0100,53.25137087,-2.11833742,72
2018-06-09T14:18:23.255+0100,53.25136501,-2.11835551,73
2018-06-09T14:18:23.755+0100,53.25136501,-2.11835551,73
2018-06-09T14:18:24.754+0100,53.25136161,-2.11836698,72
2018-06-09T14:18:26.248+0100,53.25136485,-2.11837157,72
2018-06-09T14:18:26.752+0100,53.25136485,-2.11837157,72
2018-06-09T14:18:28.246+0100,53.25136819,-2.11837349,72
2018-06-09T14:18:29.245+0100,53.25136985,-2.11838126,73
2018-06-09T14:18:30.241+0100,53.25137061,-2.11838482,72
2018-06-09T14:18:30.740+0100,53.25137061,-2.11838482,73
2018-06-09T14:18:32.235+0100,53.25137273,-2.11838643,72
2018-06-09T14:18:32.734+0100,53.25137273,-2.11838643,73
2018-06-09T14:18:34.230+0100,53.25137387,-2.11839619,73
2018-06-09T14:18:34.739+0100,53.25137387,-2.11839619,73
2018-06-09T14:18:36.225+0100,53.25142257,-2.118415,72
2018-06-09T14:18:37.221+0100,53.25144145,-2.11842298,73
2018-06-09T14:18:37.723+0100,53.25144145,-2.11842298,72
2018-06-09T14:18:38.718+0100,53.2514426,-2.11842775,73
2018-06-09T14:18:40.228+0100,53.25144025,-2.11843134,73
2018-06-09T14:18:41.215+0100,53.25145017,-2.11843105,73
2018-06-09T14:18:42.210+0100,53.25145759,-2.11842974,73
2018-06-09T14:18:43.209+0100,53.25146889,-2.11843302,73
2018-06-09T14:18:44.212+0100,53.25148009,-2.1184368,73
2018-06-09T14:18:45.201+0100,53.25148187,-2.11843654,73
2018-06-09T14:18:45.705+0100,53.25148187,-2.11843654,73
2018-06-09T14:18:46.696+0100,53.25148643,-2.11844174,73
2018-06-09T14:18:48.201+0100,53.2514962,-2.11844419,73
2018-06-09T14:18:49.198+0100,53.25149676,-2.11844471,73
2018-06-09T14:18:50.193+0100,53.2514986,-2.11844469,73
2018-06-09T14:18:51.191+0100,53.25149792,-2.11844432,73
2018-06-09T14:18:52.190+0100,53.25149695,-2.11844385,73
2018-06-09T14:18:53.189+0100,53.25149747,-2.11844418,73
2018-06-09T14:18:54.181+0100,53.25149785,-2.1184444,73
2018-06-09T14:18:54.679+0100,53.25149785,-2.1184444,73
2018-06-09T14:18:56.179+0100,53.25149786,-2.11844403,73
2018-06-09T14:18:57.180+0100,53.25149787,-2.11844405,73
2018-06-09T14:18:58.171+0100,53.25149788,-2.11844404,73
2018-06-09T14:18:59.172+0100,53.25149795,-2.11844407,74
2018-06-09T14:19:00.163+0100,53.25149793,-2.11844405,73
2018-06-09T14:19:00.665+0100,53.25149793,-2.11844405,73
2018-06-09T14:19:01.664+0100,53.25149797,-2.11844406,74
2018-06-09T14:19:02.665+0100,53.25149802,-2.11844408,73
2018-06-09T14:19:03.659+0100,53.25149799,-2.11844405,74
2018-06-09T14:19:04.657+0100,53.25149794,-2.11844388,73
2018-06-09T14:19:05.649+0100,53.25150361,-2.11842674,73
2018-06-09T14:19:06.651+0100,53.25149618,-2.11841091,74
2018-06-09T14:19:07.653+0100,53.251487,-2.11841407,74
2018-06-09T14:19:08.645+0100,53.2515042,-2.11840705,74
2018-06-09T14:19:09.647+0100,53.2515132,-2.11841211,74
2018-06-09T14:19:10.640+0100,53.25151863,-2.11840215,73
2018-06-09T14:19:11.641+0100,53.25152118,-2.11838932,73
2018-06-09T14:19:12.635+0100,53.25152439,-2.11837876,73
2018-06-09T14:19:14.135+0100,53.25152688,-2.11839644,74
2018-06-09T14:19:15.135+0100,53.25152299,-2.11840369,74
2018-06-09T14:19:16.144+0100,53.25152203,-2.11840407,74
2018-06-09T14:19:17.124+0100,53.25152484,-2.11841072,73
2018-06-09T14:19:18.129+0100,53.25152328,-2.11841477,74
2018-06-09T14:19:19.118+0100,53.25152299,-2.11841781,74
2018-06-09T14:19:19.620+0100,53.25152299,-2.11841781,74
2018-06-09T14:19:20.620+0100,53.25151541,-2.11841201,74
2018-06-09T14:19:21.622+0100,53.25151135,-2.11840517,74
2018-06-09T14:19:22.609+0100,53.25151155,-2.11840453,74
2018-06-09T14:19:24.105+0100,53.25151574,-2.11839835,74
2018-06-09T14:19:24.608+0100,53.25151574,-2.11839835,74
2018-06-09T14:19:25.605+0100,53.25151623,-2.11840318,74
2018-06-09T14:19:26.603+0100,53.25151872,-2.11840849,74
2018-06-09T14:19:27.601+0100,53.25151314,-2.1184101,74
2018-06-09T14:19:28.600+0100,53.25151394,-2.11841442,74
2018-06-09T14:19:29.595+0100,53.25151426,-2.1184192,74
2018-06-09T14:19:30.592+0100,53.25151309,-2.1184208,74
2018-06-09T14:19:31.591+0100,53.25150754,-2.11842329,74
2018-06-09T14:19:32.584+0100,53.25150234,-2.11842619,74
2018-06-09T14:19:33.578+0100,53.2514984,-2.1184307,74
2018-06-09T14:19:34.576+0100,53.25149878,-2.11843445,74
2018-06-09T14:19:35.573+0100,53.25150177,-2.11843921,75
2018-06-09T14:19:36.588+0100,53.25150704,-2.11844393,75
2018-06-09T14:19:37.577+0100,53.25151022,-2.11844775,74
2018-06-09T14:19:38.570+0100,53.25151044,-2.11844803,74
2018-06-09T14:19:39.570+0100,53.25151005,-2.11844803,75
2018-06-09T14:19:40.566+0100,53.25150858,-2.11844613,75
2018-06-09T14:19:41.563+0100,53.25150927,-2.11844978,74
2018-06-09T14:19:42.561+0100,53.25151004,-2.11844941,74
2018-06-09T14:19:44.062+0100,53.25151449,-2.11845138,74
2018-06-09T14:19:45.061+0100,53.25151736,-2.11845588,74
2018-06-09T14:19:46.054+0100,53.25151932,-2.11845561,74
2018-06-09T14:19:47.055+0100,53.25152147,-2.11845518,74
2018-06-09T14:19:48.061+0100,53.25152445,-2.11845686,74
2018-06-09T14:19:49.043+0100,53.25152524,-2.11845655,74
2018-06-09T14:19:49.544+0100,53.25152524,-2.11845655,74
2018-06-09T14:19:50.544+0100,53.25152551,-2.11845419,74
2018-06-09T14:19:51.538+0100,53.25152503,-2.11845202,74
2018-06-09T14:19:52.537+0100,53.25152376,-2.11845056,74
2018-06-09T14:19:53.533+0100,53.25152343,-2.11845011,75
2018-06-09T14:19:55.030+0100,53.25152498,-2.11844489,75
2018-06-09T14:19:56.027+0100,53.25152577,-2.11844133,74
2018-06-09T14:19:57.021+0100,53.25152667,-2.11844071,74
2018-06-09T14:19:57.524+0100,53.25152667,-2.11844071,74
2018-06-09T14:19:58.520+0100,53.25152798,-2.11844217,74
2018-06-09T14:20:00.020+0100,53.25153033,-2.11844232,74
2018-06-09T14:20:01.010+0100,53.25153272,-2.11844417,74
2018-06-09T14:20:01.513+0100,53.25153272,-2.11844417,74
2018-06-09T14:20:02.515+0100,53.25153364,-2.11844473,74
2018-06-09T14:20:03.516+0100,53.2515346,-2.11844788,74
2018-06-09T14:20:04.509+0100,53.25153326,-2.1184496,75
2018-06-09T14:20:05.508+0100,53.25153163,-2.11845076,75
2018-06-09T14:20:06.503+0100,53.25152955,-2.11845087,75
2018-06-09T14:20:07.499+0100,53.25152759,-2.11845119,75
2018-06-09T14:20:08.995+0100,53.25152418,-2.11845124,75
2018-06-09T14:20:09.992+0100,53.25152415,-2.11845137,76
2018-06-09T14:20:10.985+0100,53.25152364,-2.11845213,75
2018-06-09T14:20:11.480+0100,53.25152364,-2.11845213,75
2018-06-09T14:20:12.479+0100,53.25152295,-2.11845271,74
2018-06-09T14:20:13.478+0100,53.25152244,-2.1184533,75
2018-06-09T14:20:14.990+0100,53.25152217,-2.11845386,75
