,Device,Location,geo:long,Timestamp,geo:lat,Perception
0,Device 3,0,-2.1195851,18-06-09 15:11,53.25189875,4
0,Device 19,0,-2.119863433,18-06-09 15:11,53.2518705,4
0,Device 4,0,-2.11980244,18-06-09 15:11,53.25191996,4
0,Device 9,0,-2.119789936,18-06-09 15:11,53.25184657,5
0,Device 13,0,-2.120546875,18-06-09 15:13,53.25201635,5
1,Device 8,1,-2.12111085,18-06-09 15:15,53.25228623,5
1,Device 4,1,-2.121164733,18-06-09 15:15,53.25240407,4
1,Device 19,1,-2.121177867,18-06-09 15:16,53.25239997,5
1,Device 9,1,-2.12122241,18-06-09 15:16,53.25228778,4
1,Device 13,1,-2.12130626,18-06-09 15:17,53.25219938,5
2,Device 9,2,-2.118447749,18-06-09 15:17,53.25127513,5
3,Device 4,3,-2.1213187,18-06-09 15:19,53.2512365,4
3,Device 19,3,-2.121331833,18-06-09 15:19,53.25119077,5
3,Device 9,3,-2.121262973,18-06-09 15:19,53.25123299,5
3,Device 8,3,-2.12124584,18-06-09 15:19,53.25118147,4
3,Device 13,3,-2.121224043,18-06-09 15:19,53.25133453,5
4,Device 3,4,-2.1210236,18-06-09 15:22,53.250206,5
4,Device 19,4,-2.118433,18-06-09 15:22,53.2511687,5
4,Device 19,4,-2.1211555,18-06-09 15:22,53.25009955,5
4,Device 4,4,-2.12108825,18-06-09 15:22,53.2502193,5
4,Device 8,4,-2.12104645,18-06-09 15:22,53.2501943,5
4,Device 9,4,-2.121023883,18-06-09 15:22,53.25020144,5
4,Device 8,4,-2.118482737,18-06-09 15:22,53.25124126,5
4,Device 13,4,-2.1209437,18-06-09 15:23,53.2501669,5
4,Device 3,4,-2.11858618,18-06-09 15:23,53.25146664,4
5,Device 19,5,-2.1194133,18-06-09 15:24,53.2498494,4
5,Device 8,5,-2.119531635,18-06-09 15:24,53.24990797,4
5,Device 16,5,-2.120400044,18-06-09 15:25,53.25200306,4
5,Device 4,5,-2.11953895,18-06-09 15:25,53.2498253,5
5,Device 9,5,-2.119365536,18-06-09 15:25,53.24998387,4
5,Device 13,5,-2.1191509,18-06-09 15:25,53.25009625,5
5,Device 4,5,-2.118473975,18-06-09 15:26,53.25112933,4
6,Device 13,6,-2.118274192,18-06-09 15:30,53.25138326,4
6,Device 3,6,-2.11684485,18-06-09 15:31,53.2519429,2
6,Device 19,6,-2.116897625,18-06-09 15:31,53.2519149,3
6,Device 8,6,-2.116996158,18-06-09 15:32,53.25197692,4
6,Device 9,6,-2.116863365,18-06-09 15:32,53.25191354,4
6,Device 13,6,-2.116790323,18-06-09 15:32,53.25182178,4
6,Device 4,6,-2.11694165,18-06-09 15:32,53.25180088,3
